,Date,1Y
0,2018-06-01,47.02
1,2018-06-04,51.69
2,2018-06-05,49.23
3,2018-06-06,51.7
4,2018-06-07,51.8
5,2018-06-08,51.83
6,2018-06-11,56.71
7,2018-06-12,49.21
8,2018-06-13,59.14
9,2018-06-14,49.1
10,2018-06-15,55.11
11,2018-06-18,56.62
12,2018-06-19,59.13
13,2018-06-20,69.09
14,2018-06-21,67.09
15,2018-06-22,69.2
16,2018-06-25,63.09
17,2018-06-26,69.29
18,2018-06-27,59.69
19,2018-06-28,65.28
20,2018-06-29,55.37
21,2018-07-02,71.39
22,2018-07-03,79.38
23,2018-07-04,79.34
24,2018-07-05,79.35
25,2018-07-06,71.03
26,2018-07-09,69.48
27,2018-07-10,69.49
28,2018-07-11,75.41
29,2018-07-12,73.48
30,2018-07-13,73.52
31,2018-07-16,71.6
32,2018-07-17,73.56
33,2018-07-18,86.91
34,2018-07-19,90.47
35,2018-07-20,88.53
36,2018-07-23,88.54
37,2018-07-24,76.75
38,2018-07-25,82.64
39,2018-07-26,82.63
40,2018-07-27,57.91
41,2018-07-30,68.24
42,2018-07-31,64.72
43,2018-08-01,65.84
44,2018-08-02,65.87
45,2018-08-03,63.92
46,2018-08-06,65.98
47,2018-08-07,65.93
48,2018-08-08,65.87
49,2018-08-09,65.88
50,2018-08-10,71.42
51,2018-08-13,71.5
52,2018-08-14,63.68
53,2018-08-15,66
54,2018-08-16,54.38
55,2018-08-17,58.28
56,2018-08-20,54.55
57,2018-08-21,62.28
58,2018-08-22,66.11
59,2018-08-23,62.27
60,2018-08-24,62.28
61,2018-08-28,55.11
62,2018-08-29,62.39
63,2018-08-30,66.22
64,2018-08-31,64.7
65,2018-09-03,65.61
66,2018-09-04,62.56
67,2018-09-05,62.54
68,2018-09-06,62.54
69,2018-09-07,54.95
70,2018-09-10,55.08
71,2018-09-11,56.63
72,2018-09-12,61.53
73,2018-09-13,55.1
74,2018-09-14,55.13
75,2018-09-17,66.57
76,2018-09-18,62.85
77,2018-09-19,61.68
78,2018-09-20,51.39
79,2018-09-21,48.93
80,2018-09-24,51.51
81,2018-09-25,51.5
82,2018-09-26,43.97
83,2018-09-27,35.94
84,2018-09-28,40.98
85,2018-10-01,46
86,2018-10-02,45.02
87,2018-10-03,35.92
88,2018-10-04,40.85
89,2018-10-05,35.94
90,2018-10-08,40.99
91,2018-10-09,48.49
92,2018-10-10,55.94
93,2018-10-11,65.97
