,Date,7Y
0,2018-06-01,920.38
1,2018-06-04,919.81
2,2018-06-05,914.11
3,2018-06-06,911.69
4,2018-06-07,928.97
5,2018-06-08,945.09
6,2018-06-11,937.29
7,2018-06-12,929.53
8,2018-06-13,921.63
9,2018-06-14,919.29
10,2018-06-15,918.47
11,2018-06-18,922.53
12,2018-06-19,963.29
13,2018-06-20,938.68
14,2018-06-21,948.68
15,2018-06-22,939.72
16,2018-06-25,958.99
17,2018-06-26,958.32
18,2018-06-27,966.83
19,2018-06-28,999.88
20,2018-06-29,975.53
21,2018-07-02,1001.64
22,2018-07-03,993.34
23,2018-07-04,992.15
24,2018-07-05,983.99
25,2018-07-06,992.65
26,2018-07-09,958.85
27,2018-07-10,941.17
28,2018-07-11,949.22
29,2018-07-12,930.05
30,2018-07-13,955
31,2018-07-16,921.32
32,2018-07-17,899.07
33,2018-07-18,885.01
34,2018-07-19,897.87
35,2018-07-20,882.09
36,2018-07-23,882.14
37,2018-07-24,871.41
38,2018-07-25,901.65
39,2018-07-26,885.18
40,2018-07-27,898.37
41,2018-07-30,897.04
42,2018-07-31,888.63
43,2018-08-01,890.64
44,2018-08-02,891.43
45,2018-08-03,852.85
46,2018-08-06,880.58
47,2018-08-07,862.05
48,2018-08-08,880.12
49,2018-08-09,864.46
50,2018-08-10,875.79
51,2018-08-13,883.41
52,2018-08-14,858.51
53,2018-08-15,855.8
54,2018-08-16,835.21
55,2018-08-17,794.84
56,2018-08-20,833.52
57,2018-08-21,789.47
58,2018-08-22,792.39
59,2018-08-23,784.67
60,2018-08-24,788.26
61,2018-08-28,789.59
62,2018-08-29,788.01
63,2018-08-30,804.05
64,2018-08-31,804.66
65,2018-09-03,817.74
66,2018-09-04,801.42
67,2018-09-05,796.77
68,2018-09-06,796.7
69,2018-09-07,797.78
70,2018-09-10,795.53
71,2018-09-11,797.61
72,2018-09-12,798.82
73,2018-09-13,800.17
74,2018-09-14,792.66
75,2018-09-17,798.11
76,2018-09-18,794.75
77,2018-09-19,795.14
78,2018-09-20,897.85
79,2018-09-21,912.03
80,2018-09-24,883.86
81,2018-09-25,870.79
82,2018-09-26,873.45
83,2018-09-27,894.9
84,2018-09-28,906.98
85,2018-10-01,886.17
86,2018-10-02,920.88
87,2018-10-03,910.47
88,2018-10-04,950.97
89,2018-10-05,977.6
90,2018-10-08,978.85
91,2018-10-09,1009.94
92,2018-10-10,1006.81
93,2018-10-11,1038.05
94,2018-10-12,1016.77
95,2018-10-15,903.66
96,2018-10-16,861
97,2018-10-17,844.05
98,2018-10-18,876.51
99,2018-10-19,886.9
100,2018-10-22,888.92
101,2018-10-23,914.9
102,2018-10-24,902.52
103,2018-10-25,883.82
104,2018-10-26,914.98
105,2018-10-29,877.25
106,2018-10-30,887.35
107,2018-10-31,859.72
108,2018-11-01,846.21
109,2018-11-02,849.52
110,2018-11-05,832.48
111,2018-11-06,823.3
112,2018-11-07,805.81
113,2018-11-08,791.62
114,2018-11-09,808
115,2018-11-12,822.47
116,2018-11-13,835.87
117,2018-11-14,855.69
118,2018-11-15,885.03
119,2018-11-16,859.91
120,2018-11-19,848.69
121,2018-11-20,876.06
122,2018-11-21,858.74
123,2018-11-22,846.3
124,2018-11-23,864.17
125,2018-11-26,846.74
126,2018-11-27,867.67
127,2018-11-28,846.14
128,2018-11-29,855.61
129,2018-11-30,862.14
130,2018-12-03,855.14
131,2018-12-04,871.98
132,2018-12-05,855.53
133,2018-12-06,900.61
134,2018-12-07,887.99
135,2018-12-10,891.2
136,2018-12-11,880.93
137,2018-12-12,894.26
138,2018-12-13,877.39
139,2018-12-14,901.69
140,2018-12-17,896.9
141,2018-12-18,907.33
142,2018-12-19,897.33
143,2018-12-20,909.7
144,2018-12-21,946.27
145,2018-12-24,918.79
146,2018-12-27,984.48
147,2018-12-28,957.55
148,2018-12-31,943.71
149,2019-01-02,915.84
150,2019-01-03,909.37
151,2019-01-04,886.5
152,2019-01-07,845
153,2019-01-08,823.71
154,2019-01-09,763.45
155,2019-01-10,751.82
156,2019-01-11,763.68
157,2019-01-14,706.87
158,2019-01-15,705.05
159,2019-01-16,689.04
160,2019-01-17,725.35
161,2019-01-18,698.73
162,2019-01-21,718.39
163,2019-01-22,696.82
164,2019-01-23,731.08
165,2019-01-24,725.23
166,2019-01-25,777.96
167,2019-01-28,782.66
168,2019-01-29,810.13
169,2019-01-30,797.2
170,2019-01-31,793.98
171,2019-02-01,797.5
172,2019-02-04,791.13
173,2019-02-05,798.89
174,2019-02-06,772.03
175,2019-02-07,765.01
176,2019-02-08,783.12
177,2019-02-11,761.2
178,2019-02-12,791.93
179,2019-02-13,809.12
180,2019-02-14,805.23
181,2019-02-15,805.94
182,2019-02-18,805.75
183,2019-02-19,806.92
184,2019-02-20,759.48
185,2019-02-21,758.14
186,2019-02-22,759.44
187,2019-02-25,781.09
