,Date,10Y
0,2018-06-01,182.34
1,2018-06-04,183.52
2,2018-06-05,174.76
3,2018-06-06,173.29
4,2018-06-07,181.74
5,2018-06-08,168.4
6,2018-06-11,168
7,2018-06-12,173.18
8,2018-06-13,173.03
9,2018-06-14,168.48
10,2018-06-15,168.2
11,2018-06-18,167.83
12,2018-06-19,168.58
13,2018-06-20,166.32
14,2018-06-21,166.72
15,2018-06-22,166.25
16,2018-06-25,166.98
17,2018-06-26,166.74
18,2018-06-27,173.25
19,2018-06-28,171.26
20,2018-06-29,174.68
21,2018-07-02,177.36
22,2018-07-03,175.25
23,2018-07-04,179.66
24,2018-07-05,177.7
25,2018-07-06,176.82
26,2018-07-09,166.4
27,2018-07-10,166.18
28,2018-07-11,171.57
29,2018-07-12,169.69
30,2018-07-13,166.47
31,2018-07-16,162.2
32,2018-07-17,160.85
33,2018-07-18,166.06
34,2018-07-19,160.3
35,2018-07-20,154.53
36,2018-07-23,154.38
37,2018-07-24,154.67
38,2018-07-25,150.52
39,2018-07-26,152.25
40,2018-07-27,143.08
41,2018-07-30,150.16
42,2018-07-31,138.3
43,2018-08-01,138.03
44,2018-08-02,139.97
45,2018-08-03,135.21
46,2018-08-06,135.19
47,2018-08-07,134.92
48,2018-08-08,137.1
49,2018-08-09,137.16
50,2018-08-10,135
51,2018-08-13,134.49
52,2018-08-14,133.99
53,2018-08-15,134.66
54,2018-08-16,134.1
55,2018-08-17,134.55
56,2018-08-20,133.98
57,2018-08-21,134.26
58,2018-08-22,131.21
59,2018-08-23,130.95
60,2018-08-24,128.58
61,2018-08-28,128.68
62,2018-08-29,128.75
63,2018-08-30,128.48
64,2018-08-31,127.09
65,2018-09-03,129.75
66,2018-09-04,131.6
67,2018-09-05,133.88
68,2018-09-06,135.29
69,2018-09-07,130.5
70,2018-09-10,131.04
71,2018-09-11,130.75
72,2018-09-12,131.07
73,2018-09-13,125.33
74,2018-09-14,120.24
75,2018-09-17,122.79
76,2018-09-18,118.41
77,2018-09-19,118.14
78,2018-09-20,121.82
79,2018-09-21,121.7
80,2018-09-24,110.22
81,2018-09-25,118.32
82,2018-09-26,118.97
83,2018-09-27,119.74
84,2018-09-28,168.46
85,2018-10-01,159.99
86,2018-10-02,159.18
87,2018-10-03,158.19
88,2018-10-04,160.37
89,2018-10-05,163.78
90,2018-10-08,164.43
91,2018-10-09,162.63
92,2018-10-10,162.37
93,2018-10-11,170.06
94,2018-10-12,168.34
95,2018-10-15,164.91
96,2018-10-16,165.07
97,2018-10-17,165
98,2018-10-18,168
99,2018-10-19,167.49
100,2018-10-22,165.39
101,2018-10-23,169.84
102,2018-10-24,116.78
103,2018-10-25,146.93
104,2018-10-26,151.13
105,2018-10-29,146.66
106,2018-10-30,146.88
107,2018-10-31,146.51
108,2018-11-01,147.27
109,2018-11-02,143.1
110,2018-11-05,144.18
111,2018-11-06,143.68
112,2018-11-07,139.81
113,2018-11-08,142.17
114,2018-11-09,143.05
115,2018-11-12,143.47
116,2018-11-13,152.5
117,2018-11-14,155.68
118,2018-11-15,157.87
119,2018-11-16,160.26
120,2018-11-19,160.01
121,2018-11-20,162.59
122,2018-11-21,156.87
123,2018-11-22,155.19
124,2018-11-23,155.24
125,2018-11-26,150.62
126,2018-11-27,150.65
127,2018-11-28,152.11
128,2018-11-29,143.14
129,2018-11-30,155.32
130,2018-12-03,152.95
131,2018-12-04,152.68
132,2018-12-05,153.31
133,2018-12-06,163.2
134,2018-12-07,159.23
135,2018-12-10,164.2
136,2018-12-11,159.82
137,2018-12-12,161.04
138,2018-12-13,158.51
139,2018-12-14,162.35
140,2018-12-17,165.84
141,2018-12-18,163.15
142,2018-12-19,170.26
143,2018-12-20,178.19
144,2018-12-21,176.23
145,2018-12-24,194.06
146,2018-12-27,180.07
147,2018-12-28,179.31
148,2018-12-31,178.95
149,2019-01-02,178.9
150,2019-01-03,178.74
151,2019-01-04,170.96
152,2019-01-07,171.49
153,2019-01-08,168.87
154,2019-01-09,163.86
155,2019-01-10,164.71
156,2019-01-11,161.48
157,2019-01-14,158.63
158,2019-01-15,161.77
159,2019-01-16,156.22
160,2019-01-17,153.93
161,2019-01-18,151.45
162,2019-01-21,152.31
163,2019-01-22,167.81
164,2019-01-23,168.39
165,2019-01-24,171.68
166,2019-01-25,167.59
167,2019-01-28,168.36
168,2019-01-29,169.22
169,2019-01-30,166.95
170,2019-01-31,163.1
171,2019-02-01,159.58
172,2019-02-04,157.2
173,2019-02-05,154.94
174,2019-02-06,156.35
175,2019-02-07,158.4
176,2019-02-08,158.73
177,2019-02-11,154.13
178,2019-02-12,153.14
179,2019-02-13,152.08
180,2019-02-14,151.05
181,2019-02-15,149.21
182,2019-02-18,148.28
183,2019-02-19,134.31
184,2019-02-20,131.7
185,2019-02-21,129.26
186,2019-02-22,129.36
187,2019-02-25,128.35
188,2019-02-26,128.66
189,2019-02-27,127.16
190,2019-02-28,127.89
191,2019-03-01,129.14
192,2019-03-04,147.23
193,2019-03-05,146.31
194,2019-03-06,141.09
195,2019-03-07,147.14
196,2019-03-08,142.93
197,2019-03-11,141.45
198,2019-03-12,139.94
199,2019-03-13,139.3
200,2019-03-14,138.25
201,2019-03-15,134.51
202,2019-03-18,132.08
203,2019-03-19,129.16
204,2019-03-20,122.42
205,2019-03-21,122.92
206,2019-03-22,125.52
207,2019-03-25,123.3
208,2019-03-26,122.44
209,2019-03-27,124.27
210,2019-03-28,123.38
211,2019-03-29,122.09
212,2019-04-01,118.64
213,2019-04-02,120.56
214,2019-04-03,118.45
215,2019-04-04,118.07
216,2019-04-05,116.89
217,2019-04-08,116.69
218,2019-04-09,108.43
219,2019-04-10,121.89
220,2019-04-11,116.08
221,2019-04-12,120.14
222,2019-04-15,120.94
223,2019-04-16,115.91
224,2019-04-17,116.67
225,2019-04-18,115.82
226,2019-04-23,115.11
227,2019-04-24,115.03
228,2019-04-25,114.13
229,2019-04-26,115.54
230,2019-04-29,113.99
231,2019-04-30,109.9
232,2019-05-01,110.8
233,2019-05-02,94.46
234,2019-05-03,95.71
235,2019-05-07,97.02
236,2019-05-08,96.26
237,2019-05-09,97.98
238,2019-05-10,95.68
239,2019-05-13,98.63
240,2019-05-14,103.95
241,2019-05-15,103.9
242,2019-05-16,100.25
243,2019-05-17,100.21
244,2019-05-21,73.38
245,2019-05-22,74.66
246,2019-05-23,79.79
247,2019-05-24,74.39
248,2019-05-28,80.64
249,2019-05-29,105.31
250,2019-05-30,108.16
251,2019-05-31,113.93
252,2019-06-03,82.26
253,2019-06-04,113.27
254,2019-06-05,109.48
255,2019-06-06,111.06
256,2019-06-07,109.41
257,2019-06-10,107.93
258,2019-06-11,99.17
259,2019-06-12,103.73
260,2019-06-13,105.26
261,2019-06-14,105.94
262,2019-06-17,105.66
263,2019-06-18,105.3
264,2019-06-19,76.43
265,2019-06-20,71.75
266,2019-06-21,70.13
267,2019-06-24,80.65
268,2019-06-25,111.3
269,2019-06-26,97.89
270,2019-06-27,102.06
271,2019-06-28,99.82
272,2019-07-01,98.48
273,2019-07-02,99.59
274,2019-07-03,69.18
275,2019-07-04,96.63
276,2019-07-05,95.69
277,2019-07-08,98.6
278,2019-07-09,100.91
279,2019-07-10,99.36
280,2019-07-11,97.84
281,2019-07-12,104.98
282,2019-07-15,98.95
283,2019-07-16,111.5
284,2019-07-17,112.1
285,2019-07-18,111.17
286,2019-07-19,107.78
287,2019-07-22,110.31
288,2019-07-23,108.03
289,2019-07-24,105.07
290,2019-07-25,104.34
291,2019-07-26,102.11
292,2019-07-29,104.11
293,2019-07-30,101.96
294,2019-07-31,109.78
295,2019-08-01,102.76
296,2019-08-02,107.12
297,2019-08-05,115.91
298,2019-08-06,113.1
299,2019-08-07,118.1
300,2019-08-08,111.58
301,2019-08-09,113.57
302,2019-08-12,108.97
303,2019-08-13,101.87
304,2019-08-14,116.54
305,2019-08-15,110.82
306,2019-08-16,109.01
307,2019-08-19,109.19
308,2019-08-20,105.79
309,2019-08-21,103.33
310,2019-08-22,103.52
311,2019-08-23,104.71
312,2019-08-27,104.31
313,2019-08-28,104.42
314,2019-08-29,103.95
315,2019-08-30,104.08
316,2019-09-02,103.68
317,2019-09-03,106.17
318,2019-09-04,108.7
319,2019-09-05,111.36
320,2019-09-06,107.52
321,2019-09-09,98.69
322,2019-09-10,100.79
323,2019-09-11,98.62
324,2019-09-12,103.14
325,2019-09-13,101.66
326,2019-09-16,99.23
327,2019-09-17,98.66
328,2019-09-18,98.21
329,2019-09-19,97.72
330,2019-09-20,91.05
331,2019-09-23,92.33
332,2019-09-24,91.91
333,2019-09-25,94.76
334,2019-09-26,94.78
335,2019-09-27,107.67
336,2019-09-30,110.36
337,2019-10-01,109.04
338,2019-10-02,107.61
339,2019-10-03,114.78
340,2019-10-04,113.77
341,2019-10-07,116.42
342,2019-10-08,118.27
343,2019-10-09,116.14
344,2019-10-10,115.9
345,2019-10-11,113.39
346,2019-10-14,115.02
347,2019-10-15,113.56
348,2019-10-16,110.33
349,2019-10-17,104.52
350,2019-10-18,112.01
351,2019-10-21,90.11
352,2019-10-22,96.77
353,2019-10-23,97.36
354,2019-10-24,95.05
355,2019-10-25,95.43
356,2019-10-28,94.31
357,2019-10-29,92.56
358,2019-10-30,85.45
359,2019-10-31,84.76
360,2019-11-01,81.59
361,2019-11-04,83.76
362,2019-11-05,79.27
363,2019-11-06,80.81
364,2019-11-07,78.24
365,2019-11-08,85.88
366,2019-11-11,80.48
367,2019-11-12,90.3
368,2019-11-13,76.1
369,2019-11-14,75.55
370,2019-11-15,74.35
371,2019-11-18,76.98
372,2019-11-19,79.68
373,2019-11-20,78.88
374,2019-11-21,78.9
375,2019-11-22,80.54
376,2019-11-25,80.2
377,2019-11-26,79.35
378,2019-11-27,76.65
379,2019-11-28,76.96
380,2019-11-29,77.91
381,2019-12-02,79.24
382,2019-12-03,80.97
383,2019-12-04,75.72
384,2019-12-05,76.1
385,2019-12-06,77.36
386,2019-12-09,75.61
387,2019-12-10,78.03
388,2019-12-11,78.64
389,2019-12-12,76.11
390,2019-12-13,74.7
391,2019-12-16,73.42
392,2019-12-17,74.37
393,2019-12-18,76.91
394,2019-12-19,74.2
395,2019-12-20,72.48
396,2019-12-23,71.8
397,2019-12-24,72
398,2019-12-27,73.08
399,2019-12-30,74.11
400,2019-12-31,74.4
401,2020-01-02,77.21
402,2020-01-03,76.76
403,2020-01-06,76.83
404,2020-01-07,77.54
405,2020-01-08,76.08
406,2020-01-09,74.25
407,2020-01-10,74.95
408,2020-01-13,74.23
409,2020-01-14,74.29
410,2020-01-15,74.57
411,2020-01-16,74.08
412,2020-01-17,73.29
413,2020-01-20,74.53
414,2020-01-21,75.23
415,2020-01-22,76.6
416,2020-01-23,74.8
417,2020-01-24,74.82
