,Date,7Y
0,2018-06-01,182.97
1,2018-06-04,178.82
2,2018-06-05,180.47
3,2018-06-06,176.27
4,2018-06-07,179.04
5,2018-06-08,188.02
6,2018-06-11,178.72
7,2018-06-12,181.11
8,2018-06-13,177.27
9,2018-06-14,176.7
10,2018-06-15,177.56
11,2018-06-18,177.91
12,2018-06-19,182.18
13,2018-06-20,177.68
14,2018-06-21,176.73
15,2018-06-22,179.37
16,2018-06-25,181.87
17,2018-06-26,181.9
18,2018-06-27,182.88
19,2018-06-28,187
20,2018-06-29,186.98
21,2018-07-02,193.37
22,2018-07-03,186.49
23,2018-07-04,187.2
24,2018-07-05,190.2
25,2018-07-06,188.26
26,2018-07-09,184.19
27,2018-07-10,188.13
28,2018-07-11,191.25
29,2018-07-12,183.97
30,2018-07-13,190.02
31,2018-07-16,190.18
32,2018-07-17,188.79
33,2018-07-18,185.6
34,2018-07-19,187.94
35,2018-07-20,184.91
36,2018-07-23,190.23
37,2018-07-24,184.44
38,2018-07-25,190.89
39,2018-07-26,172.35
40,2018-07-27,175.34
41,2018-07-30,173.06
42,2018-07-31,168.93
43,2018-08-01,161.65
44,2018-08-02,161.9
45,2018-08-03,174.48
46,2018-08-06,162.52
47,2018-08-07,160.53
48,2018-08-08,164.73
49,2018-08-09,159.59
50,2018-08-10,165.49
51,2018-08-13,166.41
52,2018-08-14,162.23
53,2018-08-15,167.24
54,2018-08-16,169.22
55,2018-08-17,169.37
56,2018-08-20,169.36
57,2018-08-21,166.09
58,2018-08-22,167.56
59,2018-08-23,165.84
60,2018-08-24,169.63
61,2018-08-28,162.22
62,2018-08-29,166
63,2018-08-30,167.79
64,2018-08-31,168.57
65,2018-09-03,171.85
66,2018-09-04,173.39
67,2018-09-05,174.31
68,2018-09-06,170.57
69,2018-09-07,172.4
70,2018-09-10,174.86
71,2018-09-11,174.64
72,2018-09-12,173.11
73,2018-09-13,165.76
74,2018-09-14,161.15
75,2018-09-17,161.35
76,2018-09-18,160.68
77,2018-09-19,165.07
78,2018-09-20,176.11
79,2018-09-21,179.87
80,2018-09-24,178.61
81,2018-09-25,178.12
82,2018-09-26,183.67
83,2018-09-27,184.31
84,2018-09-28,181.2
85,2018-10-01,160.91
86,2018-10-02,161.41
87,2018-10-03,165.09
88,2018-10-04,168.42
89,2018-10-05,170.29
90,2018-10-08,168.06
91,2018-10-09,171.64
92,2018-10-10,179.63
