,Date,5Y
0,2018-06-01,171.19
1,2018-06-04,169.05
2,2018-06-05,153.38
3,2018-06-06,149.24
4,2018-06-07,147.81
5,2018-06-08,152.97
6,2018-06-11,150.48
7,2018-06-12,147.58
8,2018-06-13,139.33
9,2018-06-14,139.42
10,2018-06-15,142.39
11,2018-06-18,142.27
12,2018-06-19,144.9
13,2018-06-20,142.45
14,2018-06-21,142.63
15,2018-06-22,142.45
16,2018-06-25,145.74
17,2018-06-26,150.43
18,2018-06-27,152.46
19,2018-06-28,152.12
20,2018-06-29,150.19
21,2018-07-02,153.89
22,2018-07-03,154.1
23,2018-07-04,159.65
24,2018-07-05,159.57
25,2018-07-06,156.41
26,2018-07-09,149
27,2018-07-10,145.54
28,2018-07-11,148.4
29,2018-07-12,143.28
30,2018-07-13,141.35
31,2018-07-16,135.89
32,2018-07-17,133.19
33,2018-07-18,135.62
34,2018-07-19,133.18
35,2018-07-20,135.97
36,2018-07-23,135.91
37,2018-07-24,132.45
38,2018-07-25,133.43
39,2018-07-26,125.37
40,2018-07-27,122.48
41,2018-07-30,122.03
42,2018-07-31,119.99
43,2018-08-01,119.1
44,2018-08-02,122.1
45,2018-08-03,116.88
46,2018-08-06,115.29
47,2018-08-07,113.16
48,2018-08-08,113.21
49,2018-08-09,113.21
50,2018-08-10,114.82
51,2018-08-13,118.44
52,2018-08-14,116.7
53,2018-08-15,119.7
54,2018-08-16,117.89
55,2018-08-17,117.18
56,2018-08-20,115.28
57,2018-08-21,115.12
58,2018-08-22,115.22
59,2018-08-23,112.99
60,2018-08-24,110
61,2018-08-28,105.84
62,2018-08-29,105.77
63,2018-08-30,102.25
64,2018-08-31,104.29
65,2018-09-03,104.21
66,2018-09-04,99.33
67,2018-09-05,103.92
68,2018-09-06,106.29
69,2018-09-07,99.17
70,2018-09-10,94.57
71,2018-09-11,89.55
72,2018-09-12,89.65
73,2018-09-13,82.3
74,2018-09-14,88.41
75,2018-09-17,85.51
76,2018-09-18,85.35
77,2018-09-19,85.14
78,2018-09-20,88.65
79,2018-09-21,91.83
80,2018-09-24,95.51
81,2018-09-25,93.89
82,2018-09-26,94.65
