,Date,10Y
0,2018-06-01,355.18
1,2018-06-04,368.58
2,2018-06-05,365.13
3,2018-06-06,353.93
4,2018-06-07,359.7
5,2018-06-08,364.08
6,2018-06-11,354.18
7,2018-06-12,359.22
8,2018-06-13,354.3
9,2018-06-14,354.58
10,2018-06-15,362.45
11,2018-06-18,353.95
12,2018-06-19,369.01
13,2018-06-20,362.81
14,2018-06-21,363.29
15,2018-06-22,363.68
16,2018-06-25,372.89
17,2018-06-26,368.19
18,2018-06-27,373.11
19,2018-06-28,386.29
20,2018-06-29,377.23
21,2018-07-02,391.28
22,2018-07-03,382.21
23,2018-07-04,386.3
24,2018-07-05,386.25
25,2018-07-06,381.85
26,2018-07-09,374.34
27,2018-07-10,362.74
28,2018-07-11,367.94
29,2018-07-12,362.66
30,2018-07-13,362.91
31,2018-07-16,362.41
32,2018-07-17,362.5
33,2018-07-18,362.41
34,2018-07-19,357.93
35,2018-07-20,354.84
36,2018-07-23,350
37,2018-07-24,345.58
38,2018-07-25,337.09
39,2018-07-26,335.01
40,2018-07-27,329.3
41,2018-07-30,330.5
42,2018-07-31,323.33
43,2018-08-01,321.85
44,2018-08-02,321.42
45,2018-08-03,321.45
46,2018-08-06,321.41
47,2018-08-07,321.06
48,2018-08-08,319.95
49,2018-08-09,326.5
50,2018-08-10,327.3
51,2018-08-13,335.97
52,2018-08-14,346.91
53,2018-08-15,352.38
54,2018-08-16,347.1
55,2018-08-17,352.25
56,2018-08-20,338.57
57,2018-08-21,340.8
58,2018-08-22,342.91
59,2018-08-23,342.57
60,2018-08-24,354.46
61,2018-08-28,354.83
62,2018-08-29,339.67
63,2018-08-30,344.77
64,2018-08-31,345.82
65,2018-09-03,347.05
66,2018-09-04,348.46
67,2018-09-05,326.39
68,2018-09-06,330.97
69,2018-09-07,325.18
70,2018-09-10,321.58
71,2018-09-11,321.2
72,2018-09-12,317.88
73,2018-09-13,321.1
74,2018-09-14,313.82
75,2018-09-17,314.14
76,2018-09-18,308.95
77,2018-09-19,309
78,2018-09-20,344.58
79,2018-09-21,352
80,2018-09-24,323.67
81,2018-09-25,324.52
82,2018-09-26,324.8
83,2018-09-27,329.71
84,2018-09-28,325.14
85,2018-10-01,319.88
86,2018-10-02,327.66
87,2018-10-03,318.99
88,2018-10-04,335.62
89,2018-10-05,343.88
90,2018-10-08,344.65
91,2018-10-09,346.88
92,2018-10-10,352.27
93,2018-10-11,372.44
94,2018-10-12,365.57
95,2018-10-15,363.31
96,2018-10-16,370.69
97,2018-10-17,359.88
98,2018-10-18,365.27
99,2018-10-19,374.02
100,2018-10-22,379.4
101,2018-10-23,380.75
102,2018-10-24,370.94
103,2018-10-25,386.01
104,2018-10-26,396.98
105,2018-10-29,399.75
106,2018-10-30,410.72
107,2018-10-31,410.12
108,2018-11-01,395.01
109,2018-11-02,378.01
110,2018-11-05,380.24
111,2018-11-06,372.67
112,2018-11-07,368.44
113,2018-11-08,364.05
114,2018-11-09,357.46
115,2018-11-12,363.94
116,2018-11-13,367
117,2018-11-14,390.1
118,2018-11-15,395.38
119,2018-11-16,408.55
120,2018-11-19,406.92
121,2018-11-20,420.44
122,2018-11-21,429.83
123,2018-11-22,425.51
124,2018-11-23,431.58
125,2018-11-26,423.79
126,2018-11-27,442.47
127,2018-11-28,425.77
128,2018-11-29,426.72
129,2018-11-30,423.24
130,2018-12-03,421.03
131,2018-12-04,431.03
132,2018-12-05,446.03
133,2018-12-06,462.3
134,2018-12-07,455.87
135,2018-12-10,468.29
136,2018-12-11,437.19
137,2018-12-12,454.27
138,2018-12-13,448.89
139,2018-12-14,459.21
140,2018-12-17,477.68
141,2018-12-18,464.69
142,2018-12-19,474.48
143,2018-12-20,485.66
144,2018-12-21,487.03
145,2018-12-24,506.71
146,2018-12-27,494.4
147,2018-12-28,506.31
148,2018-12-31,505.68
149,2019-01-02,529.09
150,2019-01-03,504.38
151,2019-01-04,482.99
152,2019-01-07,484.37
153,2019-01-08,496.75
154,2019-01-09,421.03
155,2019-01-10,452.83
156,2019-01-11,422.38
157,2019-01-14,432.14
158,2019-01-15,434.49
159,2019-01-16,412.19
160,2019-01-17,425.65
161,2019-01-18,419.1
162,2019-01-21,416.01
163,2019-01-22,417.29
164,2019-01-23,415.21
165,2019-01-24,418.18
166,2019-01-25,422.31
167,2019-01-28,422.19
168,2019-01-29,424.41
169,2019-01-30,414.17
170,2019-01-31,373.6
171,2019-02-01,373.94
172,2019-02-04,368.79
173,2019-02-05,369.58
174,2019-02-06,366.58
175,2019-02-07,355.7
176,2019-02-08,355.63
177,2019-02-11,344.99
178,2019-02-12,309.81
179,2019-02-13,307.34
180,2019-02-14,294.45
181,2019-02-15,302.74
182,2019-02-18,300.52
183,2019-02-19,325.55
184,2019-02-20,346.87
185,2019-02-21,353.85
186,2019-02-22,374.95
187,2019-02-25,361.67
188,2019-02-26,358.85
189,2019-02-27,357.09
190,2019-02-28,347.92
191,2019-03-01,342.77
192,2019-03-04,302.36
193,2019-03-05,301.3
194,2019-03-06,307.49
195,2019-03-07,307.02
196,2019-03-08,322.29
197,2019-03-11,313.77
198,2019-03-12,314.82
199,2019-03-13,309.42
200,2019-03-14,307.04
201,2019-03-15,304.08
202,2019-03-18,295.35
203,2019-03-19,287.2
204,2019-03-20,302.56
