,Date,10Y
0,2018-06-01,67
1,2018-06-04,66
2,2018-06-05,66
3,2018-06-06,66.5
4,2018-06-07,66.5
5,2018-06-08,70.75
6,2018-06-11,71.5
7,2018-06-12,69.5
8,2018-06-13,68
9,2018-06-14,65.5
10,2018-06-15,66.75
11,2018-06-18,68.75
12,2018-06-19,67.5
13,2018-06-20,67.64
14,2018-06-21,72.3
15,2018-06-22,72.3
16,2018-06-25,73.52
17,2018-06-26,74.01
18,2018-06-27,73.77
19,2018-06-28,74.51
20,2018-06-29,73.03
21,2018-07-02,71.81
22,2018-07-03,76.47
23,2018-07-04,72.55
24,2018-07-05,69.6
25,2018-07-06,66.66
26,2018-07-09,68.63
27,2018-07-10,66.42
28,2018-07-11,71.57
29,2018-07-12,72.55
30,2018-07-13,72.06
31,2018-07-16,67.16
32,2018-07-17,69.12
33,2018-07-18,71.08
34,2018-07-19,69.36
35,2018-07-20,69.85
36,2018-07-23,69.85
37,2018-07-24,67.64
38,2018-07-25,66.17
39,2018-07-26,64.21
40,2018-07-27,65.44
41,2018-07-30,63.72
42,2018-07-31,64.46
43,2018-08-01,63.23
44,2018-08-02,63.72
45,2018-08-03,52.94
46,2018-08-06,63.48
47,2018-08-07,63.24
48,2018-08-08,65.44
49,2018-08-09,67.89
50,2018-08-10,68.63
51,2018-08-13,70.1
52,2018-08-14,68.63
53,2018-08-15,70.84
54,2018-08-16,74.27
55,2018-08-17,74.76
56,2018-08-20,73.29
57,2018-08-21,71.08
58,2018-08-22,71.33
59,2018-08-23,73.05
60,2018-08-24,72.56
61,2018-08-28,71.58
62,2018-08-29,73.04
63,2018-08-30,72.55
64,2018-08-31,72.8
65,2018-09-03,73.54
66,2018-09-04,73.54
67,2018-09-05,73.05
68,2018-09-06,70.84
69,2018-09-07,70.35
70,2018-09-10,71.09
71,2018-09-11,69.61
72,2018-09-12,68.88
73,2018-09-13,68.14
74,2018-09-14,67.41
75,2018-09-17,66.92
76,2018-09-18,67.9
77,2018-09-19,67.16
78,2018-09-20,77.5
79,2018-09-21,72
80,2018-09-24,74.75
81,2018-09-25,74.25
82,2018-09-26,72.75
83,2018-09-27,71
84,2018-09-28,70.5
85,2018-10-01,71.25
86,2018-10-02,71
87,2018-10-03,71.5
88,2018-10-04,72.75
89,2018-10-05,72
90,2018-10-08,73.75
91,2018-10-09,73
92,2018-10-10,73.5
93,2018-10-11,73
94,2018-10-12,72
95,2018-10-15,72
96,2018-10-16,71
97,2018-10-17,72.5
98,2018-10-18,73
99,2018-10-19,72
100,2018-10-22,72.75
101,2018-10-23,73.25
102,2018-10-24,71
103,2018-10-25,71.5
104,2018-10-26,72.75
105,2018-10-29,71.25
106,2018-10-30,71.5
107,2018-10-31,70.5
108,2018-11-01,73.5
109,2018-11-02,73.75
110,2018-11-05,72.75
111,2018-11-06,72.25
112,2018-11-07,69
113,2018-11-08,72.25
114,2018-11-09,73
115,2018-11-12,72.5
116,2018-11-13,73.25
117,2018-11-14,73
118,2018-11-15,74.5
119,2018-11-16,74.75
120,2018-11-19,73.25
121,2018-11-20,79.5
122,2018-11-21,75
123,2018-11-22,72
124,2018-11-23,74.5
125,2018-11-26,76
126,2018-11-27,77.5
127,2018-11-28,77
128,2018-11-29,85
129,2018-11-30,85
130,2018-12-03,83
131,2018-12-04,85.25
132,2018-12-05,95.75
133,2018-12-06,99
134,2018-12-07,94.25
135,2018-12-10,100.5
136,2018-12-11,100.75
137,2018-12-12,94
138,2018-12-13,97.75
139,2018-12-14,100.5
140,2018-12-17,103
141,2018-12-18,104
142,2018-12-19,102.25
143,2018-12-20,102.94
144,2018-12-21,114.22
145,2018-12-24,115.7
146,2018-12-27,106.13
147,2018-12-28,109.32
148,2018-12-31,105.39
149,2019-01-02,104.9
150,2019-01-03,106.38
151,2019-01-04,108.83
152,2019-01-07,102.94
153,2019-01-08,102.7
154,2019-01-09,99.51
155,2019-01-10,104.9
156,2019-01-11,104.9
157,2019-01-14,97.06
158,2019-01-15,98.53
159,2019-01-16,99.51
