,Date,3Y
0,2018-06-01,116.45
1,2018-06-04,116.16
2,2018-06-05,111.33
3,2018-06-06,111
4,2018-06-07,111.15
5,2018-06-08,116.27
6,2018-06-11,116.13
7,2018-06-12,116.19
8,2018-06-13,116.13
9,2018-06-14,116.11
10,2018-06-15,116.13
11,2018-06-18,110.95
12,2018-06-19,110.11
13,2018-06-20,110.01
14,2018-06-21,110.07
15,2018-06-22,114.77
16,2018-06-25,114.49
17,2018-06-26,119.51
18,2018-06-27,124.19
19,2018-06-28,124.01
20,2018-06-29,119.35
21,2018-07-02,124.14
22,2018-07-03,126.03
23,2018-07-04,111.45
24,2018-07-05,110.94
25,2018-07-06,109.58
26,2018-07-09,106.65
27,2018-07-10,108.98
28,2018-07-11,109.94
29,2018-07-12,109.77
30,2018-07-13,104.95
31,2018-07-16,104.87
32,2018-07-17,105.01
33,2018-07-18,105.03
34,2018-07-19,100.17
35,2018-07-20,100.12
36,2018-07-23,100.05
37,2018-07-24,100.09
38,2018-07-25,100.08
39,2018-07-26,99.96
40,2018-07-27,99.99
41,2018-07-30,95.3
42,2018-07-31,95.25
43,2018-08-01,95.29
44,2018-08-02,95.34
45,2018-08-03,95.32
46,2018-08-06,90.38
47,2018-08-07,90.29
48,2018-08-08,90.31
49,2018-08-09,90.29
50,2018-08-10,93.13
51,2018-08-13,95.15
52,2018-08-14,90.08
53,2018-08-15,92.09
54,2018-08-16,90.06
55,2018-08-17,95.08
56,2018-08-20,84.29
57,2018-08-21,85.17
58,2018-08-22,85.18
59,2018-08-23,85.52
60,2018-08-24,84.51
61,2018-08-28,82.83
62,2018-08-29,82.79
63,2018-08-30,79.41
64,2018-08-31,79.39
65,2018-09-03,82.18
66,2018-09-04,79.81
67,2018-09-05,78.92
68,2018-09-06,81.13
69,2018-09-07,83.05
70,2018-09-10,78.59
71,2018-09-11,78.53
72,2018-09-12,79.42
73,2018-09-13,78.45
74,2018-09-14,74.57
75,2018-09-17,85.15
76,2018-09-18,80.6
77,2018-09-19,74.63
78,2018-09-20,94.95
79,2018-09-21,84.62
80,2018-09-24,84.71
81,2018-09-25,90.3
82,2018-09-26,84.77
83,2018-09-27,84.71
84,2018-09-28,90.42
85,2018-10-01,90.3
86,2018-10-02,90.43
87,2018-10-03,90.27
88,2018-10-04,89.99
89,2018-10-05,90.04
90,2018-10-08,93.26
91,2018-10-09,95.49
92,2018-10-10,95.46
93,2018-10-11,100.56
94,2018-10-12,95.52
95,2018-10-15,95.53
96,2018-10-16,95.6
97,2018-10-17,95.54
98,2018-10-18,100.79
99,2018-10-19,100.72
100,2018-10-22,100.86
101,2018-10-23,106.47
102,2018-10-24,106.37
103,2018-10-25,116.43
104,2018-10-26,122.04
105,2018-10-29,121.61
106,2018-10-30,116.33
107,2018-10-31,105.97
108,2018-11-01,106.22
109,2018-11-02,105.96
110,2018-11-05,111.36
111,2018-11-06,111.21
112,2018-11-07,106.42
113,2018-11-08,100.61
114,2018-11-09,106.21
115,2018-11-12,109.19
116,2018-11-13,114.22
117,2018-11-14,114.11
118,2018-11-15,128.12
119,2018-11-16,129.25
120,2018-11-19,118.26
121,2018-11-20,121.71
122,2018-11-21,116.31
123,2018-11-22,124.42
124,2018-11-23,121.49
125,2018-11-26,121.66
126,2018-11-27,121.73
127,2018-11-28,121.82
128,2018-11-29,116.39
129,2018-11-30,116.29
130,2018-12-03,111.13
131,2018-12-04,111.14
132,2018-12-05,122.91
133,2018-12-06,121.78
134,2018-12-07,121.86
135,2018-12-10,126.92
136,2018-12-11,121.63
137,2018-12-12,121.45
138,2018-12-13,118.56
139,2018-12-14,116.32
140,2018-12-17,113.32
141,2018-12-18,121.74
142,2018-12-19,121.37
143,2018-12-20,124.6
144,2018-12-21,140.52
145,2018-12-24,124.98
146,2018-12-27,129.47
147,2018-12-28,148.93
148,2018-12-31,148.77
149,2019-01-02,148.78
150,2019-01-03,148.91
151,2019-01-04,138.48
152,2019-01-07,129.22
153,2019-01-08,119.39
154,2019-01-09,119.55
155,2019-01-10,119.55
156,2019-01-11,119.66
157,2019-01-14,120.06
158,2019-01-15,120.02
159,2019-01-16,118.06
160,2019-01-17,118.08
161,2019-01-18,117.87
162,2019-01-21,118.14
163,2019-01-22,118.28
164,2019-01-23,117.61
165,2019-01-24,115.19
166,2019-01-25,107.96
167,2019-01-28,112.67
168,2019-01-29,110.31
169,2019-01-30,106.19
170,2019-01-31,104.61
171,2019-02-01,104.27
172,2019-02-04,98.19
173,2019-02-05,99.7
174,2019-02-06,92.25
175,2019-02-07,94.59
176,2019-02-08,94.51
177,2019-02-11,96.72
178,2019-02-12,85.24
179,2019-02-13,89.03
180,2019-02-14,90.6
181,2019-02-15,85.7
182,2019-02-18,82.5
183,2019-02-19,83.96
184,2019-02-20,83.09
185,2019-02-21,75.97
186,2019-02-22,76.13
187,2019-02-25,79.64
188,2019-02-26,74.67
189,2019-02-27,73.99
190,2019-02-28,75.88
191,2019-03-01,75.9
192,2019-03-04,74.14
193,2019-03-05,75.88
194,2019-03-06,80.95
195,2019-03-07,81.01
196,2019-03-08,80.92
197,2019-03-11,80.85
198,2019-03-12,70.77
199,2019-03-13,85.57
200,2019-03-14,85.6
201,2019-03-15,81
202,2019-03-18,80.9
203,2019-03-19,80.89
204,2019-03-20,90.34
205,2019-03-21,85.03
206,2019-03-22,85.68
207,2019-03-25,90.8
208,2019-03-26,85.01
209,2019-03-27,85.46
210,2019-03-28,89.98
211,2019-03-29,84.9
212,2019-04-01,84.85
213,2019-04-02,85.37
214,2019-04-03,79.76
215,2019-04-04,79.94
216,2019-04-05,74.64
217,2019-04-08,74.45
218,2019-04-09,79.96
219,2019-04-10,79.93
220,2019-04-11,74.21
221,2019-04-12,74.33
222,2019-04-15,74.63
223,2019-04-16,74.54
224,2019-04-17,74.68
225,2019-04-18,74.72
226,2019-04-23,74.74
227,2019-04-24,69.43
228,2019-04-25,69.18
229,2019-04-26,69.46
230,2019-04-29,69.21
231,2019-04-30,69.38
232,2019-05-01,69.25
233,2019-05-02,69.01
234,2019-05-03,69.22
235,2019-05-07,69.44
236,2019-05-08,74.49
237,2019-05-09,79.81
238,2019-05-10,79.67
239,2019-05-13,85.1
240,2019-05-14,84.88
241,2019-05-15,90.18
242,2019-05-16,89.76
243,2019-05-17,89.95
244,2019-05-21,89.69
245,2019-05-22,95.09
246,2019-05-23,100.47
247,2019-05-24,105.36
248,2019-05-28,110.85
249,2019-05-29,110.88
250,2019-05-30,115.77
251,2019-05-31,121.51
252,2019-06-03,121.42
253,2019-06-04,115.72
254,2019-06-05,116.25
255,2019-06-06,110.65
256,2019-06-07,105.76
257,2019-06-10,100.06
258,2019-06-11,95.12
259,2019-06-12,95.12
260,2019-06-13,95.34
261,2019-06-14,105.6
262,2019-06-17,110.41
263,2019-06-18,95.19
264,2019-06-19,89.74
265,2019-06-20,81.61
266,2019-06-21,84.73
267,2019-06-24,86
268,2019-06-25,95.35
269,2019-06-26,95.08
270,2019-06-27,90.48
271,2019-06-28,90.43
272,2019-07-01,90.29
273,2019-07-02,72.02
274,2019-07-03,85.8
275,2019-07-04,76.93
276,2019-07-05,80.26
277,2019-07-08,80.73
278,2019-07-09,85.77
279,2019-07-10,86.08
280,2019-07-11,75.51
281,2019-07-12,82.98
282,2019-07-15,83.09
283,2019-07-16,81.05
284,2019-07-17,81.29
285,2019-07-18,77.67
286,2019-07-19,91.36
287,2019-07-22,81.45
288,2019-07-23,80.94
289,2019-07-24,81.03
290,2019-07-25,71.57
291,2019-07-26,71.65
292,2019-07-29,76.42
293,2019-07-30,71.63
294,2019-07-31,72.39
295,2019-08-01,76.48
296,2019-08-02,81.17
297,2019-08-05,88
298,2019-08-06,85.98
299,2019-08-07,84.25
300,2019-08-08,75.82
301,2019-08-09,80.01
302,2019-08-12,83.18
303,2019-08-13,78.76
304,2019-08-14,84.06
305,2019-08-15,81.36
306,2019-08-16,76.13
307,2019-08-19,73.14
308,2019-08-20,71.64
309,2019-08-21,71.22
310,2019-08-22,71.24
311,2019-08-23,66.87
312,2019-08-27,71.56
313,2019-08-28,70.52
314,2019-08-29,68.45
315,2019-08-30,66.67
316,2019-09-02,66.77
317,2019-09-03,71.74
318,2019-09-04,67.78
319,2019-09-05,66.18
320,2019-09-06,61.88
321,2019-09-09,61.75
322,2019-09-10,63.65
323,2019-09-11,61.85
324,2019-09-12,57.03
325,2019-09-13,60.59
326,2019-09-16,61.23
327,2019-09-17,61.89
328,2019-09-18,61.97
329,2019-09-19,60.05
330,2019-09-20,61.75
331,2019-09-23,62.65
332,2019-09-24,62.87
333,2019-09-25,56.93
334,2019-09-26,60.68
335,2019-09-27,65.57
336,2019-09-30,64.56
337,2019-10-01,61.48
338,2019-10-02,64.97
339,2019-10-03,65.22
340,2019-10-04,63.53
341,2019-10-07,63.28
342,2019-10-08,62.76
343,2019-10-09,59.03
344,2019-10-10,59.93
345,2019-10-11,58.12
346,2019-10-14,58.31
347,2019-10-15,58.99
348,2019-10-16,59.31
349,2019-10-17,57.68
350,2019-10-18,54.25
351,2019-10-21,53.86
352,2019-10-22,52.06
353,2019-10-23,59.23
354,2019-10-24,59.35
355,2019-10-25,58.37
356,2019-10-28,53.81
357,2019-10-29,47.3
358,2019-10-30,48.73
359,2019-10-31,43.47
360,2019-11-01,43.89
361,2019-11-04,40.68
362,2019-11-05,36.91
363,2019-11-06,37.91
364,2019-11-07,40.36
365,2019-11-08,38.43
366,2019-11-11,39.5
367,2019-11-12,38.5
368,2019-11-13,38.53
369,2019-11-14,39.12
370,2019-11-15,35.36
371,2019-11-18,36.3
372,2019-11-19,33.68
373,2019-11-20,37.2
374,2019-11-21,31.18
375,2019-11-22,41.28
376,2019-11-25,35.56
377,2019-11-26,31.61
378,2019-11-27,37.99
379,2019-11-28,38.01
380,2019-11-29,33.17
381,2019-12-02,33.41
382,2019-12-03,35.54
383,2019-12-04,37.23
384,2019-12-05,33.25
385,2019-12-06,32.2
386,2019-12-09,39.67
387,2019-12-10,41.59
388,2019-12-11,38.41
389,2019-12-12,40.42
390,2019-12-13,36.09
391,2019-12-16,32.92
392,2019-12-17,39.07
393,2019-12-18,31.15
394,2019-12-19,31.37
395,2019-12-20,33.48
396,2019-12-23,34.41
397,2019-12-24,35.33
398,2019-12-27,35.1
399,2019-12-30,29.86
400,2019-12-31,30.76
401,2020-01-02,32.72
402,2020-01-03,35.3
403,2020-01-06,32.16
404,2020-01-07,35.44
405,2020-01-08,32.48
406,2020-01-09,32.19
407,2020-01-10,36.82
408,2020-01-13,31.62
409,2020-01-14,35.47
410,2020-01-15,36.92
411,2020-01-16,33.9
412,2020-01-17,27.26
413,2020-01-20,27.51
414,2020-01-21,38.88
415,2020-01-22,34.91
416,2020-01-23,35.03
417,2020-01-24,34.69
