,Date,10Y
0,2018-06-01,164.5
1,2018-06-04,166.5
2,2018-06-05,167
3,2018-06-06,168
4,2018-06-07,167
5,2018-06-08,168.75
6,2018-06-11,157.75
7,2018-06-12,165
8,2018-06-13,164.25
9,2018-06-14,164.25
10,2018-06-15,159.5
11,2018-06-18,160.5
12,2018-06-19,169.25
13,2018-06-20,163.51
14,2018-06-21,166.21
15,2018-06-22,162.78
16,2018-06-25,160.32
17,2018-06-26,163.02
18,2018-06-27,161.55
19,2018-06-28,164.98
20,2018-06-29,163.51
21,2018-07-02,164
22,2018-07-03,163.75
23,2018-07-04,156.88
24,2018-07-05,153.45
25,2018-07-06,151.98
26,2018-07-09,152.96
27,2018-07-10,152.71
28,2018-07-11,145.11
29,2018-07-12,151.73
30,2018-07-13,150.01
31,2018-07-16,145.84
32,2018-07-17,152.22
33,2018-07-18,150.5
34,2018-07-19,153.2
35,2018-07-20,153.69
36,2018-07-23,149.03
37,2018-07-24,149.28
38,2018-07-25,146.83
39,2018-07-26,142.91
40,2018-07-27,144.87
41,2018-07-30,144.62
42,2018-07-31,144.87
43,2018-08-01,147.56
44,2018-08-02,147.56
45,2018-08-03,121.82
46,2018-08-06,148.05
47,2018-08-07,148.05
48,2018-08-08,148.3
49,2018-08-09,152.95
50,2018-08-10,152.71
51,2018-08-13,154.17
52,2018-08-14,153.93
53,2018-08-15,160.06
54,2018-08-16,158.58
55,2018-08-17,159.32
56,2018-08-20,157.6
57,2018-08-21,156.86
58,2018-08-22,153.19
59,2018-08-23,154.66
60,2018-08-24,153.19
61,2018-08-28,152.94
62,2018-08-29,153.43
63,2018-08-30,155.88
64,2018-08-31,155.39
65,2018-09-03,156.13
66,2018-09-04,156.62
67,2018-09-05,155.15
68,2018-09-06,153.68
69,2018-09-07,154.65
70,2018-09-10,154.41
71,2018-09-11,149.51
72,2018-09-12,147.79
73,2018-09-13,146.81
74,2018-09-14,144.61
75,2018-09-17,144.85
76,2018-09-18,144.36
77,2018-09-19,144.61
78,2018-09-20,173.5
79,2018-09-21,174.5
80,2018-09-24,156.25
81,2018-09-25,155.75
82,2018-09-26,154.25
83,2018-09-27,154
84,2018-09-28,153.75
85,2018-10-01,153
86,2018-10-02,151.25
87,2018-10-03,150
88,2018-10-04,151.25
89,2018-10-05,151.25
90,2018-10-08,152
91,2018-10-09,152
92,2018-10-10,155.25
93,2018-10-11,160.5
94,2018-10-12,155
95,2018-10-15,162.75
96,2018-10-16,162.75
97,2018-10-17,164
98,2018-10-18,168.5
99,2018-10-19,169.5
100,2018-10-22,173.25
101,2018-10-23,176.5
102,2018-10-24,182.5
103,2018-10-25,183
104,2018-10-26,181.5
105,2018-10-29,177.5
106,2018-10-30,181.5
107,2018-10-31,179.5
108,2018-11-01,180.5
109,2018-11-02,185
110,2018-11-05,183.5
111,2018-11-06,181.5
112,2018-11-07,170
113,2018-11-08,171.5
114,2018-11-09,181.5
115,2018-11-12,175.5
116,2018-11-13,183.5
117,2018-11-14,187.5
118,2018-11-15,198
119,2018-11-16,199.5
120,2018-11-19,203.5
121,2018-11-20,210.5
122,2018-11-21,204.5
123,2018-11-22,202
124,2018-11-23,210
125,2018-11-26,213
126,2018-11-27,217.5
127,2018-11-28,215.5
128,2018-11-29,201.5
129,2018-11-30,206
130,2018-12-03,203.5
131,2018-12-04,198.5
132,2018-12-05,200.5
133,2018-12-06,211.5
134,2018-12-07,204
135,2018-12-10,204.5
136,2018-12-11,216.5
137,2018-12-12,215
138,2018-12-13,213.5
139,2018-12-14,210
140,2018-12-17,215.5
141,2018-12-18,239.5
142,2018-12-19,250
143,2018-12-20,260.95
144,2018-12-21,283.54
145,2018-12-24,292.87
146,2018-12-27,270.28
147,2018-12-28,260.46
148,2018-12-31,259.46
149,2019-01-02,248.16
150,2019-01-03,251.59
151,2019-01-04,243.72
152,2019-01-07,227.54
153,2019-01-08,223.13
154,2019-01-09,212.34
155,2019-01-10,210.86
156,2019-01-11,209.39
157,2019-01-14,216.75
158,2019-01-15,209.88
159,2019-01-16,206.93
160,2019-01-17,203.99
161,2019-01-18,199.09
162,2019-01-21,196.14
163,2019-01-22,202.03
164,2019-01-23,207.91
165,2019-01-24,206.93
166,2019-01-25,199.08
167,2019-01-28,199.08
168,2019-01-29,203
169,2019-01-30,195.64
170,2019-01-31,185.34
171,2019-02-01,179.44
172,2019-02-04,185.82
173,2019-02-05,180.43
174,2019-02-06,182.88
175,2019-02-07,195.14
176,2019-02-08,207.89
177,2019-02-11,210.34
178,2019-02-12,202.49
179,2019-02-13,196.61
180,2019-02-14,198.57
181,2019-02-15,195.13
182,2019-02-18,197.58
183,2019-02-19,188.26
184,2019-02-20,184.34
185,2019-02-21,188.26
186,2019-02-22,191.21
187,2019-02-25,185.32
188,2019-02-26,181.88
189,2019-02-27,183.84
190,2019-02-28,176.98
191,2019-03-01,177.47
192,2019-03-04,181.4
193,2019-03-05,181.89
194,2019-03-06,178.94
195,2019-03-07,177.47
196,2019-03-08,182.86
197,2019-03-11,183.84
198,2019-03-12,179.91
199,2019-03-13,174.52
200,2019-03-14,167.65
201,2019-03-15,167.65
202,2019-03-18,160.78
203,2019-03-19,162.26
204,2019-03-20,166.19
205,2019-03-21,160.69
206,2019-03-22,165.19
207,2019-03-25,165.69
208,2019-03-26,162.19
209,2019-03-27,163.69
210,2019-03-28,163.19
211,2019-03-29,160.19
212,2019-04-01,155.69
213,2019-04-02,153.19
214,2019-04-03,149.69
215,2019-04-04,151.69
216,2019-04-05,150.19
217,2019-04-08,148.69
218,2019-04-09,149.19
219,2019-04-10,167
220,2019-04-11,171
221,2019-04-12,157.5
222,2019-04-15,161
223,2019-04-16,154
224,2019-04-17,135
225,2019-04-18,136.5
226,2019-04-23,133.5
227,2019-04-24,133
228,2019-04-25,133
229,2019-04-26,134
230,2019-04-29,135
231,2019-04-30,152.5
232,2019-05-01,154
233,2019-05-02,161.5
234,2019-05-03,145.5
235,2019-05-07,148
236,2019-05-08,155.5
237,2019-05-09,157.5
238,2019-05-10,172.5
239,2019-05-13,170.5
240,2019-05-14,174
241,2019-05-15,178
242,2019-05-16,172
243,2019-05-17,176
244,2019-05-21,173.5
245,2019-05-22,175.5
246,2019-05-23,189.5
247,2019-05-24,181.5
248,2019-05-28,202.5
249,2019-05-29,215
