,Date,5Y
0,2018-06-01,180.76
1,2018-06-04,180.03
2,2018-06-05,177
3,2018-06-06,171.26
4,2018-06-07,171.65
5,2018-06-08,174.98
6,2018-06-11,174.78
7,2018-06-12,174.85
8,2018-06-13,174.77
9,2018-06-14,173.82
10,2018-06-15,173.59
11,2018-06-18,176.61
12,2018-06-19,176.96
13,2018-06-20,171.26
14,2018-06-21,175.32
15,2018-06-22,173.14
16,2018-06-25,181.77
17,2018-06-26,181.59
18,2018-06-27,181.68
19,2018-06-28,185.4
20,2018-06-29,183.53
21,2018-07-02,191.27
22,2018-07-03,181.8
23,2018-07-04,181.05
24,2018-07-05,181.48
25,2018-07-06,181.6
26,2018-07-09,170.76
27,2018-07-10,172.41
28,2018-07-11,170.6
29,2018-07-12,175.42
30,2018-07-13,175.56
31,2018-07-16,174.17
32,2018-07-17,182.68
33,2018-07-18,180.49
34,2018-07-19,185.64
35,2018-07-20,190.63
36,2018-07-23,195.32
37,2018-07-24,193.59
38,2018-07-25,203.68
39,2018-07-26,198.71
40,2018-07-27,206.06
41,2018-07-30,203.16
42,2018-07-31,195.71
43,2018-08-01,183.37
44,2018-08-02,180.36
45,2018-08-03,175.51
46,2018-08-06,180.33
47,2018-08-07,170.27
48,2018-08-08,176.11
49,2018-08-09,176.12
50,2018-08-10,174.31
51,2018-08-13,173.94
52,2018-08-14,181.9
53,2018-08-15,178.21
54,2018-08-16,174.91
55,2018-08-17,175.17
56,2018-08-20,175.19
57,2018-08-21,174.67
58,2018-08-22,171.68
59,2018-08-23,171.47
60,2018-08-24,172.44
61,2018-08-28,172.1
62,2018-08-29,164.47
63,2018-08-30,164.5
64,2018-08-31,169.63
65,2018-09-03,166.64
66,2018-09-04,169.4
67,2018-09-05,171.66
68,2018-09-06,171.74
69,2018-09-07,171.46
70,2018-09-10,172.17
71,2018-09-11,174.41
72,2018-09-12,150.08
73,2018-09-13,159.44
74,2018-09-14,152.61
75,2018-09-17,159.34
76,2018-09-18,159.24
77,2018-09-19,162.29
78,2018-09-20,183.53
79,2018-09-21,183.26
80,2018-09-24,187.69
81,2018-09-25,189.42
82,2018-09-26,189.81
83,2018-09-27,189.69
84,2018-09-28,189.82
85,2018-10-01,185.53
86,2018-10-02,183.3
87,2018-10-03,180.01
88,2018-10-04,183.99
89,2018-10-05,185.11
90,2018-10-08,188.53
91,2018-10-09,188.31
92,2018-10-10,205.31
93,2018-10-11,225.72
94,2018-10-12,225.62
95,2018-10-15,212.37
96,2018-10-16,214.23
97,2018-10-17,231.62
98,2018-10-18,234.23
99,2018-10-19,280.69
100,2018-10-22,276.88
101,2018-10-23,288.39
102,2018-10-24,276.63
103,2018-10-25,275.97
104,2018-10-26,281.85
105,2018-10-29,271.23
106,2018-10-30,282.83
107,2018-10-31,273.56
108,2018-11-01,263.45
109,2018-11-02,266.34
110,2018-11-05,261.33
111,2018-11-06,260.77
112,2018-11-07,255.13
113,2018-11-08,255.37
114,2018-11-09,260.93
115,2018-11-12,260.92
116,2018-11-13,266.81
117,2018-11-14,266.64
118,2018-11-15,271.73
119,2018-11-16,297.15
120,2018-11-19,303.01
121,2018-11-20,305.08
122,2018-11-21,300.66
123,2018-11-22,301.85
124,2018-11-23,304.01
125,2018-11-26,292.73
126,2018-11-27,292.85
127,2018-11-28,302.91
128,2018-11-29,303.34
129,2018-11-30,308.08
130,2018-12-03,295.37
131,2018-12-04,316.98
132,2018-12-05,303.95
133,2018-12-06,334.01
134,2018-12-07,335.59
135,2018-12-10,347.03
136,2018-12-11,341.01
137,2018-12-12,320.49
138,2018-12-13,324.85
139,2018-12-14,321.46
140,2018-12-17,315.85
141,2018-12-18,315.96
142,2018-12-19,302.18
143,2018-12-20,313.04
144,2018-12-21,334.71
145,2018-12-24,354.24
146,2018-12-27,316.22
147,2018-12-28,355.04
148,2018-12-31,354.75
149,2019-01-02,311.91
150,2019-01-03,325.41
151,2019-01-04,318.21
152,2019-01-07,308.7
153,2019-01-08,280.63
154,2019-01-09,288.18
155,2019-01-10,293.13
156,2019-01-11,293.42
157,2019-01-14,287.89
158,2019-01-15,282.96
159,2019-01-16,282.79
160,2019-01-17,277.8
161,2019-01-18,276.94
162,2019-01-21,272.49
163,2019-01-22,272.85
164,2019-01-23,272.56
165,2019-01-24,267.98
166,2019-01-25,276.75
167,2019-01-28,277.28
168,2019-01-29,257.21
169,2019-01-30,246.66
170,2019-01-31,241.67
171,2019-02-01,240.69
172,2019-02-04,240.97
173,2019-02-05,236.44
174,2019-02-06,231.29
175,2019-02-07,245.9
176,2019-02-08,250.73
177,2019-02-11,246.15
178,2019-02-12,241.04
179,2019-02-13,240.85
180,2019-02-14,236.76
181,2019-02-15,236.12
182,2019-02-18,226.5
183,2019-02-19,226.77
184,2019-02-20,219.29
185,2019-02-21,215.51
186,2019-02-22,218.36
187,2019-02-25,204.06
188,2019-02-26,205.83
189,2019-02-27,194.72
190,2019-02-28,199.49
191,2019-03-01,199.51
192,2019-03-04,204.72
193,2019-03-05,204.44
194,2019-03-06,209.88
195,2019-03-07,210.46
196,2019-03-08,215.22
197,2019-03-11,210.04
198,2019-03-12,210.46
199,2019-03-13,204.92
200,2019-03-14,205.26
201,2019-03-15,204.84
202,2019-03-18,199.81
203,2019-03-19,204.6
204,2019-03-20,233.03
205,2019-03-21,226.05
206,2019-03-22,226.88
207,2019-03-25,234.15
208,2019-03-26,229.88
209,2019-03-27,239.22
210,2019-03-28,233.41
211,2019-03-29,217.55
