,Date,3Y
0,2018-06-01,36.5
1,2018-06-04,36
2,2018-06-05,37
3,2018-06-06,38
4,2018-06-07,37.5
5,2018-06-08,39
6,2018-06-11,35
7,2018-06-12,36
8,2018-06-13,36.5
9,2018-06-14,34.5
10,2018-06-15,34
11,2018-06-18,35
12,2018-06-19,35.5
13,2018-06-20,39.7
14,2018-06-21,40.16
15,2018-06-22,38.78
16,2018-06-25,40.18
17,2018-06-26,40.65
18,2018-06-27,40.66
19,2018-06-28,41.13
20,2018-06-29,41.59
21,2018-07-02,42.53
22,2018-07-03,40.68
23,2018-07-04,40.69
24,2018-07-05,40.69
25,2018-07-06,39.3
26,2018-07-09,40.71
27,2018-07-10,39.78
28,2018-07-11,40.25
29,2018-07-12,39.33
30,2018-07-13,38.41
31,2018-07-16,38.89
32,2018-07-17,39.35
33,2018-07-18,38.89
34,2018-07-19,36.81
35,2018-07-20,37.05
36,2018-07-23,37.76
37,2018-07-24,36.14
38,2018-07-25,36.61
39,2018-07-26,37.31
40,2018-07-27,34.53
41,2018-07-30,34.55
42,2018-07-31,35.94
43,2018-08-01,34.79
44,2018-08-02,33.87
45,2018-08-03,33.41
46,2018-08-06,34.35
47,2018-08-07,35.28
48,2018-08-08,34.83
49,2018-08-09,35.29
50,2018-08-10,35.76
51,2018-08-13,35.78
52,2018-08-14,36.25
53,2018-08-15,37.64
54,2018-08-16,35.34
55,2018-08-17,35.34
56,2018-08-20,36.28
57,2018-08-21,34.9
58,2018-08-22,34.9
59,2018-08-23,34.91
60,2018-08-24,34.92
61,2018-08-28,34.01
62,2018-08-29,34.01
63,2018-08-30,34.02
64,2018-08-31,34.49
65,2018-09-03,34.51
66,2018-09-04,34.51
67,2018-09-05,34.98
68,2018-09-06,33.6
69,2018-09-07,34.53
70,2018-09-10,35
71,2018-09-11,35.46
72,2018-09-12,35
73,2018-09-13,33.63
74,2018-09-14,33.63
75,2018-09-17,32.26
76,2018-09-18,31.81
77,2018-09-19,34.12
78,2018-09-20,30.5
79,2018-09-21,30
80,2018-09-24,32.5
81,2018-09-25,34
82,2018-09-26,33
83,2018-09-27,31
84,2018-09-28,31
85,2018-10-01,29.5
86,2018-10-02,32.5
87,2018-10-03,35
88,2018-10-04,34
89,2018-10-05,35.5
90,2018-10-08,35
91,2018-10-09,35.5
92,2018-10-10,36.5
93,2018-10-11,37
94,2018-10-12,36.5
95,2018-10-15,38.5
96,2018-10-16,37.5
97,2018-10-17,41
98,2018-10-18,40
99,2018-10-19,40
100,2018-10-22,41
101,2018-10-23,45
102,2018-10-24,45
103,2018-10-25,48
104,2018-10-26,48
105,2018-10-29,46
106,2018-10-30,47.5
107,2018-10-31,48
108,2018-11-01,46.5
109,2018-11-02,46.5
110,2018-11-05,46.5
111,2018-11-06,45
112,2018-11-07,42.5
113,2018-11-08,41
114,2018-11-09,43
115,2018-11-12,43.5
116,2018-11-13,44
117,2018-11-14,42.5
118,2018-11-15,47.5
119,2018-11-16,49.5
120,2018-11-19,49
121,2018-11-20,51.5
122,2018-11-21,50.5
123,2018-11-22,50.5
124,2018-11-23,51
125,2018-11-26,48
126,2018-11-27,49.5
127,2018-11-28,51
128,2018-11-29,51
129,2018-11-30,49
130,2018-12-03,46
131,2018-12-04,51.5
132,2018-12-05,49.5
133,2018-12-06,50
134,2018-12-07,53.5
135,2018-12-10,51.5
136,2018-12-11,47
137,2018-12-12,47.5
138,2018-12-13,46.5
139,2018-12-14,50.5
140,2018-12-17,51
141,2018-12-18,51
142,2018-12-19,50
143,2018-12-20,56.34
144,2018-12-21,58.67
145,2018-12-24,59.6
146,2018-12-27,63.33
147,2018-12-28,58.23
148,2018-12-31,56.85
149,2019-01-02,61.03
150,2019-01-03,57.32
151,2019-01-04,56.41
152,2019-01-07,52.23
153,2019-01-08,53.16
154,2019-01-09,52.23
155,2019-01-10,53.63
156,2019-01-11,50.39
157,2019-01-14,54.57
158,2019-01-15,55.5
159,2019-01-16,53.65
160,2019-01-17,52.73
161,2019-01-18,50.87
162,2019-01-21,51.35
163,2019-01-22,52.74
164,2019-01-23,49.97
165,2019-01-24,51.82
166,2019-01-25,48.59
167,2019-01-28,51.37
168,2019-01-29,51.84
169,2019-01-30,50.46
170,2019-01-31,46.76
171,2019-02-01,49.55
172,2019-02-04,49.55
173,2019-02-05,46.78
174,2019-02-06,47.24
175,2019-02-07,50.49
176,2019-02-08,50.5
177,2019-02-11,48.19
178,2019-02-12,46.81
179,2019-02-13,44.96
180,2019-02-14,44.5
181,2019-02-15,43.58
182,2019-02-18,44.06
183,2019-02-19,42.21
184,2019-02-20,42.22
185,2019-02-21,42.69
186,2019-02-22,42.23
187,2019-02-25,41.32
188,2019-02-26,41.79
189,2019-02-27,41.33
190,2019-02-28,39.95
191,2019-03-01,39.95
192,2019-03-04,40.42
193,2019-03-05,41.35
194,2019-03-06,40.43
195,2019-03-07,42.75
196,2019-03-08,45.06
197,2019-03-11,42.77
198,2019-03-12,40.93
199,2019-03-13,40.01
200,2019-03-14,40.48
201,2019-03-15,40.02
202,2019-03-18,39.58
203,2019-03-19,38.66
204,2019-03-20,41.5
205,2019-03-21,40
206,2019-03-22,41.5
207,2019-03-25,42
208,2019-03-26,41
209,2019-03-27,42
210,2019-03-28,41
211,2019-03-29,41
212,2019-04-01,39.5
213,2019-04-02,39.5
214,2019-04-03,38.5
215,2019-04-04,39.5
216,2019-04-05,37
217,2019-04-08,38.5
218,2019-04-09,38
219,2019-04-10,38
220,2019-04-11,37.5
221,2019-04-12,35.5
222,2019-04-15,36
223,2019-04-16,36.5
224,2019-04-17,36
225,2019-04-18,36
226,2019-04-23,35.5
227,2019-04-24,35
228,2019-04-25,36.5
229,2019-04-26,35
230,2019-04-29,35
231,2019-04-30,34.5
232,2019-05-01,35
233,2019-05-02,37
234,2019-05-03,36.5
235,2019-05-07,41
236,2019-05-08,42
237,2019-05-09,43
238,2019-05-10,42.5
239,2019-05-13,44
240,2019-05-14,43.5
241,2019-05-15,43.5
242,2019-05-16,44
243,2019-05-17,44
244,2019-05-21,44.5
245,2019-05-22,45
246,2019-05-23,47
247,2019-05-24,46
248,2019-05-28,46
249,2019-05-29,48
250,2019-05-30,47
251,2019-05-31,48.5
252,2019-06-03,47.5
253,2019-06-04,46.5
254,2019-06-05,45.5
255,2019-06-06,44.5
256,2019-06-07,43
257,2019-06-10,41
258,2019-06-11,41
259,2019-06-12,41.5
260,2019-06-13,42.5
261,2019-06-14,45.5
262,2019-06-17,43.5
263,2019-06-18,41
264,2019-06-19,40.5
265,2019-06-20,43.5
266,2019-06-21,42.58
267,2019-06-24,43.05
268,2019-06-25,44.45
269,2019-06-26,45.84
270,2019-06-27,45.84
271,2019-06-28,42.6
272,2019-07-01,43.08
273,2019-07-02,43.08
274,2019-07-03,44.01
275,2019-07-04,43.55
276,2019-07-05,43.56
277,2019-07-08,42.18
278,2019-07-09,44.95
279,2019-07-10,43.57
280,2019-07-11,42.65
281,2019-07-12,43.11
282,2019-07-15,44.05
283,2019-07-16,45.91
284,2019-07-17,46.37
285,2019-07-18,46.84
286,2019-07-19,45.93
287,2019-07-22,45.93
288,2019-07-23,45.48
289,2019-07-24,41.78
290,2019-07-25,40.86
291,2019-07-26,42.25
292,2019-07-29,41.34
293,2019-07-30,44.12
294,2019-07-31,41.81
295,2019-08-01,42.74
296,2019-08-02,46.45
297,2019-08-05,46
298,2019-08-06,47.86
299,2019-08-07,47.4
300,2019-08-08,46.49
301,2019-08-09,46.03
302,2019-08-12,46.96
303,2019-08-13,46.05
304,2019-08-14,49.74
305,2019-08-15,47.44
306,2019-08-16,46.53
307,2019-08-19,45.62
308,2019-08-20,44.7
309,2019-08-21,42.86
310,2019-08-22,42.86
311,2019-08-23,44.25
312,2019-08-27,42.89
313,2019-08-28,44.28
314,2019-08-29,42.9
315,2019-08-30,42.44
316,2019-09-02,42.46
317,2019-09-03,43.38
318,2019-09-04,40.63
319,2019-09-05,38.8
320,2019-09-06,40.17
321,2019-09-09,40.65
322,2019-09-10,40.19
323,2019-09-11,39.26
324,2019-09-12,37.43
325,2019-09-13,37.43
326,2019-09-16,37.9
327,2019-09-17,39.75
328,2019-09-18,40.67
329,2019-09-19,39.76
330,2019-09-20,40
331,2019-09-23,42
332,2019-09-24,41.5
333,2019-09-25,41
334,2019-09-26,40.5
335,2019-09-27,39
336,2019-09-30,42.5
337,2019-10-01,40.5
338,2019-10-02,42
339,2019-10-03,42
340,2019-10-04,39
341,2019-10-07,42.5
342,2019-10-08,45
343,2019-10-09,43
344,2019-10-10,43
345,2019-10-11,39
346,2019-10-14,38.5
347,2019-10-15,39
348,2019-10-16,40
349,2019-10-17,39
350,2019-10-18,37.5
351,2019-10-21,34.5
352,2019-10-22,35
353,2019-10-23,36.5
354,2019-10-24,37.5
355,2019-10-25,35.5
356,2019-10-28,37.5
357,2019-10-29,36.5
358,2019-10-30,37.5
359,2019-10-31,36
360,2019-11-01,35
361,2019-11-04,32.5
362,2019-11-05,34.5
363,2019-11-06,33.5
364,2019-11-07,32.5
365,2019-11-08,33
366,2019-11-11,34
367,2019-11-12,31
368,2019-11-13,34.5
369,2019-11-14,34
370,2019-11-15,34.5
371,2019-11-18,32.5
372,2019-11-19,33
373,2019-11-20,36
374,2019-11-21,37.5
375,2019-11-22,35
376,2019-11-25,34
377,2019-11-26,33.5
378,2019-11-27,33
379,2019-11-28,34
380,2019-11-29,35
381,2019-12-02,34.5
382,2019-12-03,35
383,2019-12-04,34
384,2019-12-05,34
385,2019-12-06,33
386,2019-12-09,32.5
387,2019-12-10,32.5
388,2019-12-11,32
389,2019-12-12,32
390,2019-12-13,32
391,2019-12-16,30.5
392,2019-12-17,30.5
393,2019-12-18,30.5
394,2019-12-19,31
395,2019-12-20,35.52
396,2019-12-23,35.07
397,2019-12-24,34.14
398,2019-12-27,33.23
399,2019-12-30,33.71
400,2019-12-31,33.72
401,2020-01-02,33.72
402,2020-01-03,33.73
403,2020-01-06,34.68
404,2020-01-07,35.15
405,2020-01-08,35.15
