,Date,10Y
0,2018-06-01,1196.13
1,2018-06-04,1217.64
2,2018-06-05,1228.37
3,2018-06-06,1232.84
4,2018-06-07,1264.72
5,2018-06-08,1333.57
6,2018-06-11,1346.25
7,2018-06-12,1337.15
8,2018-06-13,1327.75
9,2018-06-14,1292.38
10,2018-06-15,1229.95
11,2018-06-18,1270
12,2018-06-19,1311.11
13,2018-06-20,1260.62
14,2018-06-21,1273.58
15,2018-06-22,1253.18
16,2018-06-25,1276.86
17,2018-06-26,1205.9
18,2018-06-27,1186.24
19,2018-06-28,1236.18
20,2018-06-29,1216.5
21,2018-07-02,1240.42
22,2018-07-03,1221.73
23,2018-07-04,1177.46
24,2018-07-05,1165.94
25,2018-07-06,1176.42
26,2018-07-09,1121.9
27,2018-07-10,1114.93
28,2018-07-11,1122.99
29,2018-07-12,1146.95
30,2018-07-13,1140.73
31,2018-07-16,1176.17
32,2018-07-17,1161.9
33,2018-07-18,1157.93
34,2018-07-19,1145.13
35,2018-07-20,1139.31
36,2018-07-23,1152.82
37,2018-07-24,1166.9
38,2018-07-25,1187.16
39,2018-07-26,1180.99
40,2018-07-27,1165.71
41,2018-07-30,1185.89
42,2018-07-31,1174.89
43,2018-08-01,1182.03
44,2018-08-02,1112.4
45,2018-08-03,1036.48
46,2018-08-06,1020.61
47,2018-08-07,836.35
48,2018-08-08,801.43
49,2018-08-09,801.14
50,2018-08-10,846.81
51,2018-08-13,897
52,2018-08-14,915.88
53,2018-08-15,943.55
54,2018-08-16,895.14
55,2018-08-17,1032.05
56,2018-08-20,831.96
57,2018-08-21,794.74
58,2018-08-22,769.15
59,2018-08-23,770.17
60,2018-08-24,778.48
61,2018-08-28,922.12
62,2018-08-29,940.63
63,2018-08-30,994.32
64,2018-08-31,1010.7
65,2018-09-03,1010.24
66,2018-09-04,1024.36
67,2018-09-05,1041.5
68,2018-09-06,1026.34
69,2018-09-07,1015.89
70,2018-09-10,981.04
71,2018-09-11,984.6
72,2018-09-12,965.35
73,2018-09-13,938.07
74,2018-09-14,915.09
75,2018-09-17,898.58
76,2018-09-18,744.03
77,2018-09-19,745.76
78,2018-09-20,809
79,2018-09-21,798.84
80,2018-09-24,794.55
81,2018-09-25,801.38
82,2018-09-26,837.69
83,2018-09-27,841.19
84,2018-09-28,841.73
85,2018-10-01,833.04
86,2018-10-02,830.41
87,2018-10-03,830.58
88,2018-10-04,854.51
89,2018-10-05,846.68
90,2018-10-08,792.73
91,2018-10-09,789.1
92,2018-10-10,785.46
93,2018-10-11,810.65
94,2018-10-12,818.9
95,2018-10-15,834.66
96,2018-10-16,802.97
97,2018-10-17,819.31
98,2018-10-18,828.19
99,2018-10-19,851.99
100,2018-10-22,853.35
101,2018-10-23,855.58
102,2018-10-24,846.53
103,2018-10-25,848.05
104,2018-10-26,864.33
105,2018-10-29,852.72
106,2018-10-30,870.19
107,2018-10-31,844.43
108,2018-11-01,872.93
109,2018-11-02,829.03
110,2018-11-05,832.21
111,2018-11-06,814.59
112,2018-11-07,816.54
113,2018-11-08,798.85
114,2018-11-09,815.06
115,2018-11-12,819.83
116,2018-11-13,848.98
117,2018-11-14,823.95
118,2018-11-15,864.82
119,2018-11-16,812.54
120,2018-11-19,838.7
121,2018-11-20,840.52
122,2018-11-21,805.76
123,2018-11-22,814.58
124,2018-11-23,816.7
125,2018-11-26,791.61
126,2018-11-27,795.91
127,2018-11-28,791.47
128,2018-11-29,784.91
129,2018-11-30,777.11
130,2018-12-03,742.39
131,2018-12-04,785.48
132,2018-12-05,793.36
133,2018-12-06,827.76
134,2018-12-07,791.09
135,2018-12-10,798.07
136,2018-12-11,780.12
137,2018-12-12,777.42
138,2018-12-13,780.3
139,2018-12-14,803.58
140,2018-12-17,820.37
141,2018-12-18,868.08
142,2018-12-19,784.17
143,2018-12-20,828.05
144,2018-12-21,811.13
145,2018-12-24,845.52
146,2018-12-27,898.68
147,2018-12-28,920.75
148,2018-12-31,919.98
149,2019-01-02,924.92
150,2019-01-03,937.63
151,2019-01-04,897.8
152,2019-01-07,840.21
153,2019-01-08,790.68
154,2019-01-09,835.81
155,2019-01-10,876.66
156,2019-01-11,861.57
157,2019-01-14,867.26
158,2019-01-15,839.36
159,2019-01-16,821.24
160,2019-01-17,829.95
161,2019-01-18,821.79
162,2019-01-21,831.8
163,2019-01-22,841.17
164,2019-01-23,807.89
