,Date,1Y
0,2018-06-01,23
1,2018-06-04,23
2,2018-06-05,21
3,2018-06-06,22
4,2018-06-07,22.5
5,2018-06-08,24
6,2018-06-11,23
7,2018-06-12,23
8,2018-06-13,22.25
9,2018-06-14,22
10,2018-06-15,20.5
11,2018-06-18,24
12,2018-06-19,22
13,2018-06-20,36.54
14,2018-06-21,38.58
15,2018-06-22,38.62
16,2018-06-25,40.32
17,2018-06-26,39.16
18,2018-06-27,38.79
19,2018-06-28,40.83
20,2018-06-29,39.26
21,2018-07-02,40.96
22,2018-07-03,39
23,2018-07-04,40.64
24,2018-07-05,38.68
25,2018-07-06,37.92
26,2018-07-09,38.03
27,2018-07-10,38.47
28,2018-07-11,39.3
29,2018-07-12,38.14
30,2018-07-13,39.37
31,2018-07-16,39.09
32,2018-07-17,38.34
33,2018-07-18,38.77
34,2018-07-19,38.81
35,2018-07-20,39.04
36,2018-07-23,38.97
37,2018-07-24,38.02
38,2018-07-25,37.67
39,2018-07-26,36.73
40,2018-07-27,37.16
41,2018-07-30,36.9
42,2018-07-31,36.55
43,2018-08-01,37.76
44,2018-08-02,37.81
45,2018-08-03,37.85
46,2018-08-06,37.98
47,2018-08-07,38.02
48,2018-08-08,37.68
49,2018-08-09,38.89
50,2018-08-10,37.77
51,2018-08-13,39.46
52,2018-08-14,39.11
53,2018-08-15,41.1
54,2018-08-16,39.59
55,2018-08-17,39.83
56,2018-08-20,40.93
57,2018-08-21,40.59
58,2018-08-22,38.13
59,2018-08-23,37.14
60,2018-08-24,37.42
61,2018-08-28,39.53
62,2018-08-29,37.89
63,2018-08-30,38.71
64,2018-08-31,39.52
65,2018-09-03,39.67
66,2018-09-04,40.01
67,2018-09-05,39.16
68,2018-09-06,39.21
69,2018-09-07,40.03
70,2018-09-10,40.41
71,2018-09-11,38.18
72,2018-09-12,39.14
73,2018-09-13,39.43
74,2018-09-14,37.59
75,2018-09-17,38.13
76,2018-09-18,38.94
77,2018-09-19,38.43
78,2018-09-20,16.5
79,2018-09-21,18.45
80,2018-09-24,21.5
81,2018-09-25,19.7
82,2018-09-26,19.5
