,Date,10Y
0,2018-06-01,54.75
1,2018-06-04,53.75
2,2018-06-05,54.25
3,2018-06-06,54.25
4,2018-06-07,54.25
5,2018-06-08,55
6,2018-06-11,55
7,2018-06-12,54
8,2018-06-13,53
9,2018-06-14,52.5
10,2018-06-15,55.25
11,2018-06-18,56.25
12,2018-06-19,56
13,2018-06-20,57.83
14,2018-06-21,58.32
15,2018-06-22,58.32
16,2018-06-25,60.04
17,2018-06-26,60.04
18,2018-06-27,62.49
19,2018-06-28,64.95
20,2018-06-29,62.49
21,2018-07-02,62
22,2018-07-03,63.72
23,2018-07-04,62.5
24,2018-07-05,60.78
25,2018-07-06,59.56
26,2018-07-09,59.07
27,2018-07-10,57.59
28,2018-07-11,58.33
29,2018-07-12,58.33
30,2018-07-13,57.84
31,2018-07-16,56.37
32,2018-07-17,57.6
33,2018-07-18,58.58
34,2018-07-19,57.35
35,2018-07-20,56.37
36,2018-07-23,56.37
37,2018-07-24,54.9
38,2018-07-25,56.86
39,2018-07-26,56.37
40,2018-07-27,55.88
41,2018-07-30,56.37
42,2018-07-31,53.67
43,2018-08-01,52.94
44,2018-08-02,53.43
45,2018-08-03,69.61
46,2018-08-06,70.1
47,2018-08-07,53.43
48,2018-08-08,54.66
49,2018-08-09,55.15
50,2018-08-10,56.62
51,2018-08-13,56.87
52,2018-08-14,57.85
53,2018-08-15,58.83
54,2018-08-16,58.83
55,2018-08-17,59.57
56,2018-08-20,58.34
57,2018-08-21,55.16
58,2018-08-22,57.36
59,2018-08-23,56.87
60,2018-08-24,56.38
61,2018-08-28,56.38
62,2018-08-29,56.14
63,2018-08-30,57.85
64,2018-08-31,58.59
65,2018-09-03,60.55
66,2018-09-04,59.08
67,2018-09-05,58.1
68,2018-09-06,56.87
69,2018-09-07,57.12
70,2018-09-10,56.38
71,2018-09-11,55.65
72,2018-09-12,57.36
73,2018-09-13,53.69
74,2018-09-14,51.97
75,2018-09-17,55.89
76,2018-09-18,55.4
77,2018-09-19,57.36
78,2018-09-20,59.5
79,2018-09-21,61
80,2018-09-24,55.25
81,2018-09-25,56.75
82,2018-09-26,56.5
83,2018-09-27,56.25
84,2018-09-28,59
85,2018-10-01,56.25
86,2018-10-02,57.5
87,2018-10-03,57.5
88,2018-10-04,58
89,2018-10-05,60.75
90,2018-10-08,58.75
91,2018-10-09,58.75
92,2018-10-10,62
93,2018-10-11,61
94,2018-10-12,61
95,2018-10-15,58.75
96,2018-10-16,56.25
97,2018-10-17,57
98,2018-10-18,56.5
99,2018-10-19,59
100,2018-10-22,58.5
101,2018-10-23,59.75
102,2018-10-24,57
103,2018-10-25,59.5
104,2018-10-26,59
105,2018-10-29,55
106,2018-10-30,59.25
107,2018-10-31,61.25
108,2018-11-01,61.75
109,2018-11-02,60.25
110,2018-11-05,58.25
111,2018-11-06,61.25
112,2018-11-07,55.75
113,2018-11-08,60.25
114,2018-11-09,60.75
115,2018-11-12,61.5
116,2018-11-13,64
117,2018-11-14,64.5
118,2018-11-15,68
119,2018-11-16,70
120,2018-11-19,71.5
121,2018-11-20,70.5
122,2018-11-21,67.75
123,2018-11-22,67
124,2018-11-23,66
125,2018-11-26,66
126,2018-11-27,67.5
127,2018-11-28,67.25
128,2018-11-29,63.5
129,2018-11-30,59.75
130,2018-12-03,59.5
131,2018-12-04,64
132,2018-12-05,62
133,2018-12-06,65.25
134,2018-12-07,70
135,2018-12-10,71
136,2018-12-11,70.5
137,2018-12-12,70
138,2018-12-13,66.75
139,2018-12-14,64.75
140,2018-12-17,66.75
141,2018-12-18,65.25
142,2018-12-19,65.5
143,2018-12-20,71.8
144,2018-12-21,73.51
145,2018-12-24,74.25
146,2018-12-27,72.29
147,2018-12-28,70.82
148,2018-12-31,70.33
149,2019-01-02,69.11
150,2019-01-03,72.78
151,2019-01-04,72.05
152,2019-01-07,68.86
153,2019-01-08,67.64
154,2019-01-09,69.84
155,2019-01-10,68.37
156,2019-01-11,70.82
157,2019-01-14,71.31
158,2019-01-15,70.82
159,2019-01-16,71.56
160,2019-01-17,67.88
161,2019-01-18,65.43
162,2019-01-21,65.43
163,2019-01-22,66.66
164,2019-01-23,66.66
165,2019-01-24,66.41
166,2019-01-25,68.86
167,2019-01-28,69.6
168,2019-01-29,68.37
169,2019-01-30,67.64
170,2019-01-31,61.02
171,2019-02-01,60.53
172,2019-02-04,60.53
173,2019-02-05,60.29
174,2019-02-06,62.74
175,2019-02-07,64.21
176,2019-02-08,66.17
177,2019-02-11,63.72
178,2019-02-12,61.52
179,2019-02-13,62.99
180,2019-02-14,62.01
181,2019-02-15,63.23
182,2019-02-18,61.76
183,2019-02-19,59.07
184,2019-02-20,58.09
185,2019-02-21,59.31
186,2019-02-22,60.05
187,2019-02-25,63.24
188,2019-02-26,61.03
189,2019-02-27,58.58
190,2019-02-28,56.13
191,2019-03-01,60.29
192,2019-03-04,58.33
193,2019-03-05,59.8
194,2019-03-06,60.54
195,2019-03-07,62.75
196,2019-03-08,64.95
197,2019-03-11,70.84
198,2019-03-12,95.83
199,2019-03-13,109.07
200,2019-03-14,106.86
201,2019-03-15,105.64
202,2019-03-18,96.08
203,2019-03-19,96.32
204,2019-03-20,105.61
205,2019-03-21,103.61
206,2019-03-22,104.61
207,2019-03-25,103.61
208,2019-03-26,104.11
209,2019-03-27,105.61
210,2019-03-28,104.11
211,2019-03-29,102.61
212,2019-04-01,98.61
213,2019-04-02,97.61
214,2019-04-03,96.61
215,2019-04-04,96.61
216,2019-04-05,96.61
217,2019-04-08,97.11
218,2019-04-09,98.61
219,2019-04-10,77
220,2019-04-11,74.75
221,2019-04-12,74
222,2019-04-15,74.75
223,2019-04-16,74.5
224,2019-04-17,90.25
225,2019-04-18,91.25
226,2019-04-23,88.25
227,2019-04-24,90.5
228,2019-04-25,91.75
229,2019-04-26,90
230,2019-04-29,91.25
231,2019-04-30,73
232,2019-05-01,87
233,2019-05-02,79
234,2019-05-03,92.25
235,2019-05-07,99.75
236,2019-05-08,101
237,2019-05-09,103.5
238,2019-05-10,104
239,2019-05-13,88
240,2019-05-14,84.25
241,2019-05-15,85.75
242,2019-05-16,87.25
243,2019-05-17,86.25
244,2019-05-21,86.25
245,2019-05-22,86.25
246,2019-05-23,85
247,2019-05-24,85.25
248,2019-05-28,85
249,2019-05-29,87.25
250,2019-05-30,84.75
251,2019-05-31,87.25
252,2019-06-03,89.25
253,2019-06-04,84.5
254,2019-06-05,86
255,2019-06-06,83.5
256,2019-06-07,83.5
257,2019-06-10,83
258,2019-06-11,82.5
259,2019-06-12,80.5
260,2019-06-13,81
261,2019-06-14,81
262,2019-06-17,81.5
