,Date,7Y
0,2018-06-01,150.33
1,2018-06-04,148.24
2,2018-06-05,148.04
3,2018-06-06,144.95
4,2018-06-07,144.54
5,2018-06-08,143.05
6,2018-06-11,142.26
7,2018-06-12,140.24
8,2018-06-13,137.93
9,2018-06-14,136.6
10,2018-06-15,136.45
11,2018-06-18,136.22
12,2018-06-19,138.28
13,2018-06-20,135.95
14,2018-06-21,135.75
15,2018-06-22,133.92
16,2018-06-25,137.97
17,2018-06-26,137.51
18,2018-06-27,137.18
19,2018-06-28,138.98
20,2018-06-29,137.53
21,2018-07-02,139.7
22,2018-07-03,137.96
23,2018-07-04,138.15
24,2018-07-05,138.09
25,2018-07-06,137.22
26,2018-07-09,134.91
27,2018-07-10,133.38
28,2018-07-11,137.16
29,2018-07-12,135.88
30,2018-07-13,135.58
31,2018-07-16,137.76
32,2018-07-17,136.56
33,2018-07-18,135.83
34,2018-07-19,135.58
35,2018-07-20,135.54
36,2018-07-23,134.44
37,2018-07-24,134.59
38,2018-07-25,134.06
39,2018-07-26,132.84
40,2018-07-27,132.46
41,2018-07-30,132.35
42,2018-07-31,132.4
43,2018-08-01,132.28
44,2018-08-02,132.54
45,2018-08-03,132.59
46,2018-08-06,132.56
47,2018-08-07,131.84
48,2018-08-08,131.92
49,2018-08-09,132.44
50,2018-08-10,133.71
51,2018-08-13,134.82
52,2018-08-14,132.93
53,2018-08-15,135.42
54,2018-08-16,134.47
55,2018-08-17,134.85
56,2018-08-20,133.36
57,2018-08-21,130.53
58,2018-08-22,130.18
59,2018-08-23,127.04
60,2018-08-24,125.9
61,2018-08-28,126.42
62,2018-08-29,126.56
63,2018-08-30,127.12
64,2018-08-31,128.17
65,2018-09-03,128.06
66,2018-09-04,127.82
67,2018-09-05,127.5
68,2018-09-06,127.47
69,2018-09-07,126.03
70,2018-09-10,124.93
71,2018-09-11,123.73
72,2018-09-12,123.42
73,2018-09-13,122.63
74,2018-09-14,120.43
75,2018-09-17,120.67
76,2018-09-18,120.39
77,2018-09-19,120.86
78,2018-09-20,130.18
79,2018-09-21,132.36
80,2018-09-24,134.12
81,2018-09-25,134.77
82,2018-09-26,133.74
83,2018-09-27,133.08
84,2018-09-28,133.22
85,2018-10-01,132.88
86,2018-10-02,133.88
87,2018-10-03,132.86
88,2018-10-04,136.03
89,2018-10-05,136.64
90,2018-10-08,138.67
91,2018-10-09,139.28
92,2018-10-10,140.71
93,2018-10-11,141.78
94,2018-10-12,141.05
95,2018-10-15,141.51
96,2018-10-16,141.63
97,2018-10-17,143.09
98,2018-10-18,142.33
99,2018-10-19,142.72
100,2018-10-22,145.59
101,2018-10-23,147.43
102,2018-10-24,145.47
103,2018-10-25,145.68
104,2018-10-26,148.21
105,2018-10-29,144.89
106,2018-10-30,141.53
107,2018-10-31,139.53
108,2018-11-01,140.12
109,2018-11-02,137.79
110,2018-11-05,138.01
111,2018-11-06,136.56
112,2018-11-07,137.11
113,2018-11-08,137.26
114,2018-11-09,140.06
115,2018-11-12,137.16
116,2018-11-13,145.11
117,2018-11-14,146.54
118,2018-11-15,158.08
119,2018-11-16,157.96
120,2018-11-19,158.88
121,2018-11-20,164.28
122,2018-11-21,160.99
123,2018-11-22,164.24
124,2018-11-23,163.47
125,2018-11-26,160.9
126,2018-11-27,166.28
127,2018-11-28,157.11
128,2018-11-29,153.97
129,2018-11-30,153.55
130,2018-12-03,151.48
131,2018-12-04,156.52
132,2018-12-05,158.06
133,2018-12-06,165.26
134,2018-12-07,161.89
135,2018-12-10,164.42
136,2018-12-11,163.99
137,2018-12-12,160.99
138,2018-12-13,161.42
139,2018-12-14,163.74
140,2018-12-17,174.62
141,2018-12-18,177.46
142,2018-12-19,170.65
143,2018-12-20,177.88
144,2018-12-21,182.85
145,2018-12-24,188.93
146,2018-12-27,186.99
147,2018-12-28,179.26
148,2018-12-31,179.23
149,2019-01-02,180.45
150,2019-01-03,185.29
151,2019-01-04,176.82
152,2019-01-07,170.41
153,2019-01-08,168.09
154,2019-01-09,165.8
155,2019-01-10,169.34
156,2019-01-11,168.85
157,2019-01-14,169.9
158,2019-01-15,167.38
159,2019-01-16,163.65
160,2019-01-17,166.28
161,2019-01-18,158.16
162,2019-01-21,158.79
163,2019-01-22,162.33
164,2019-01-23,161.41
165,2019-01-24,161.69
166,2019-01-25,159.72
167,2019-01-28,162.79
168,2019-01-29,162.23
169,2019-01-30,159.64
170,2019-01-31,154.78
171,2019-02-01,153.68
172,2019-02-04,155.25
173,2019-02-05,152.75
174,2019-02-06,154.17
175,2019-02-07,160.8
176,2019-02-08,163.48
177,2019-02-11,160.43
178,2019-02-12,157.92
179,2019-02-13,156.77
180,2019-02-14,156.76
181,2019-02-15,153.05
182,2019-02-18,152.56
183,2019-02-19,153.55
184,2019-02-20,152.66
185,2019-02-21,151.74
186,2019-02-22,152.5
187,2019-02-25,150.44
188,2019-02-26,151.79
189,2019-02-27,131.88
190,2019-02-28,130.82
191,2019-03-01,128.89
192,2019-03-04,132.94
193,2019-03-05,131.82
