,Date,10Y
0,2018-06-01,143.5
1,2018-06-04,141.5
2,2018-06-05,141.5
3,2018-06-06,141
4,2018-06-07,140
5,2018-06-08,136.25
6,2018-06-11,134.75
7,2018-06-12,132
8,2018-06-13,130.75
9,2018-06-14,127
10,2018-06-15,123
11,2018-06-18,124.5
12,2018-06-19,129.25
13,2018-06-20,127.22
14,2018-06-21,124.52
15,2018-06-22,126.73
16,2018-06-25,126.23
17,2018-06-26,129.67
18,2018-06-27,127.22
19,2018-06-28,137.02
20,2018-06-29,138.98
21,2018-07-02,142.66
22,2018-07-03,133.83
23,2018-07-04,142.17
24,2018-07-05,142.17
25,2018-07-06,147.07
26,2018-07-09,141.19
27,2018-07-10,146.09
28,2018-07-11,145.11
29,2018-07-12,142.9
30,2018-07-13,143.64
31,2018-07-16,142.16
32,2018-07-17,150.26
33,2018-07-18,149.52
34,2018-07-19,148.79
35,2018-07-20,160.31
36,2018-07-23,156.88
37,2018-07-24,155.41
38,2018-07-25,149.52
39,2018-07-26,151.98
40,2018-07-27,150.01
41,2018-07-30,154.43
42,2018-07-31,151.49
43,2018-08-01,150.99
44,2018-08-02,151
45,2018-08-03,151
46,2018-08-06,155.41
47,2018-08-07,152.46
48,2018-08-08,150.01
49,2018-08-09,152.95
50,2018-08-10,152.95
51,2018-08-13,154.42
52,2018-08-14,152.46
53,2018-08-15,156.87
54,2018-08-16,153.43
55,2018-08-17,151.96
56,2018-08-20,149.02
57,2018-08-21,145.1
58,2018-08-22,147.55
59,2018-08-23,144.12
60,2018-08-24,136.27
61,2018-08-28,140.68
62,2018-08-29,139.7
63,2018-08-30,145.59
64,2018-08-31,144.6
65,2018-09-03,139.7
66,2018-09-04,141.66
67,2018-09-05,143.62
68,2018-09-06,140.93
69,2018-09-07,139.7
70,2018-09-10,140.19
71,2018-09-11,136.03
72,2018-09-12,131.62
73,2018-09-13,133.09
74,2018-09-14,133.33
75,2018-09-17,133.82
76,2018-09-18,133.33
77,2018-09-19,131.37
78,2018-09-20,152.5
79,2018-09-21,151
80,2018-09-24,157.5
81,2018-09-25,161
