,Date,5Y
0,2018-06-01,636.47
1,2018-06-04,636.91
2,2018-06-05,641.89
3,2018-06-06,640.85
4,2018-06-07,605.21
5,2018-06-08,603.59
6,2018-06-11,589.16
7,2018-06-12,595.17
8,2018-06-13,602.34
9,2018-06-14,595.47
10,2018-06-15,603.02
11,2018-06-18,600.64
12,2018-06-19,610.62
13,2018-06-20,563.76
14,2018-06-21,560.91
15,2018-06-22,550.46
16,2018-06-25,553.36
17,2018-06-26,553.1
18,2018-06-27,526.75
19,2018-06-28,528.92
20,2018-06-29,519
21,2018-07-02,529.76
22,2018-07-03,518.71
23,2018-07-04,518.34
24,2018-07-05,522.15
25,2018-07-06,517.79
26,2018-07-09,510.94
27,2018-07-10,495.41
28,2018-07-11,503.73
29,2018-07-12,509.88
30,2018-07-13,517.02
31,2018-07-16,527.1
32,2018-07-17,544.33
33,2018-07-18,555.14
34,2018-07-19,552.27
35,2018-07-20,560.68
36,2018-07-23,552.08
37,2018-07-24,542.36
38,2018-07-25,547.71
39,2018-07-26,542.45
40,2018-07-27,494.5
41,2018-07-30,496.16
42,2018-07-31,497.34
43,2018-08-01,521.79
44,2018-08-02,530.75
45,2018-08-03,529.43
46,2018-08-06,518.62
47,2018-08-07,497.29
48,2018-08-08,499.41
49,2018-08-09,504.6
50,2018-08-10,507.45
51,2018-08-13,512.54
52,2018-08-14,517.61
53,2018-08-15,567.87
54,2018-08-16,555.55
55,2018-08-17,545.29
56,2018-08-20,545.05
57,2018-08-21,539.44
58,2018-08-22,523.84
59,2018-08-23,522.89
60,2018-08-24,512.17
61,2018-08-28,500.74
62,2018-08-29,506.28
63,2018-08-30,506.27
64,2018-08-31,511.59
65,2018-09-03,508.77
66,2018-09-04,508.58
67,2018-09-05,514.29
68,2018-09-06,519.41
69,2018-09-07,527.48
70,2018-09-10,519.26
71,2018-09-11,514.05
72,2018-09-12,506.2
73,2018-09-13,503.52
74,2018-09-14,500.7
75,2018-09-17,489.99
76,2018-09-18,484.39
77,2018-09-19,476.81
78,2018-09-20,545.65
79,2018-09-21,547.34
80,2018-09-24,521.96
81,2018-09-25,483.94
82,2018-09-26,497.67
83,2018-09-27,488.03
84,2018-09-28,481.71
85,2018-10-01,475.85
86,2018-10-02,459.06
87,2018-10-03,458.2
88,2018-10-04,462.29
89,2018-10-05,471.34
90,2018-10-08,466.85
91,2018-10-09,469.57
92,2018-10-10,475.22
93,2018-10-11,500.53
94,2018-10-12,487.31
95,2018-10-15,484.74
96,2018-10-16,473.4
97,2018-10-17,484.37
98,2018-10-18,484.7
99,2018-10-19,487.17
100,2018-10-22,498.79
101,2018-10-23,527.48
102,2018-10-24,527.24
103,2018-10-25,545.95
104,2018-10-26,571.81
105,2018-10-29,576.09
106,2018-10-30,550.09
107,2018-10-31,534.94
108,2018-11-01,549.09
109,2018-11-02,554.62
110,2018-11-05,545.96
111,2018-11-06,549.94
112,2018-11-07,552.06
113,2018-11-08,546.16
114,2018-11-09,588.65
115,2018-11-12,579.96
116,2018-11-13,594.05
117,2018-11-14,602.07
118,2018-11-15,613.59
119,2018-11-16,614.97
120,2018-11-19,637.36
121,2018-11-20,692.73
122,2018-11-21,677.89
123,2018-11-22,683.59
124,2018-11-23,700.49
125,2018-11-26,703.89
126,2018-11-27,716.21
127,2018-11-28,740.17
128,2018-11-29,707.89
129,2018-11-30,720.04
130,2018-12-03,702.39
131,2018-12-04,700.38
132,2018-12-05,716.84
133,2018-12-06,753.04
134,2018-12-07,734.89
135,2018-12-10,755.32
136,2018-12-11,767.18
137,2018-12-12,764.08
138,2018-12-13,773.89
139,2018-12-14,806.44
140,2018-12-17,834.25
141,2018-12-18,889.45
142,2018-12-19,900.74
143,2018-12-20,1027.02
144,2018-12-21,989.24
145,2018-12-24,1019.19
146,2018-12-27,1001.37
147,2018-12-28,986.61
148,2018-12-31,969.04
149,2019-01-02,965.28
150,2019-01-03,962.72
151,2019-01-04,820.58
152,2019-01-07,795.84
153,2019-01-08,726.74
154,2019-01-09,626.24
155,2019-01-10,648.24
156,2019-01-11,670.23
157,2019-01-14,696.79
158,2019-01-15,682.43
159,2019-01-16,662.84
160,2019-01-17,670.59
161,2019-01-18,626.19
162,2019-01-21,624.93
163,2019-01-22,669.21
164,2019-01-23,685.1
165,2019-01-24,675.56
166,2019-01-25,670.82
167,2019-01-28,697.14
168,2019-01-29,677.1
169,2019-01-30,647.98
170,2019-01-31,599.79
171,2019-02-01,611.03
172,2019-02-04,632.06
173,2019-02-05,635.92
174,2019-02-06,640.24
175,2019-02-07,670.47
176,2019-02-08,694.37
177,2019-02-11,694.83
178,2019-02-12,663.34
179,2019-02-13,647.56
180,2019-02-14,666.23
181,2019-02-15,647.34
182,2019-02-18,651.02
183,2019-02-19,623.93
184,2019-02-20,615.39
185,2019-02-21,622.27
186,2019-02-22,619.3
187,2019-02-25,630.79
188,2019-02-26,608.81
189,2019-02-27,563.33
190,2019-02-28,577.52
191,2019-03-01,563.13
192,2019-03-04,563.65
193,2019-03-05,562.97
194,2019-03-06,589.69
195,2019-03-07,603.52
196,2019-03-08,653.63
197,2019-03-11,636.62
198,2019-03-12,625.59
199,2019-03-13,601.85
200,2019-03-14,598.25
201,2019-03-15,590.72
202,2019-03-18,581.24
203,2019-03-19,554.45
204,2019-03-20,648.75
205,2019-03-21,633.31
206,2019-03-22,659.69
207,2019-03-25,675.55
208,2019-03-26,649.24
209,2019-03-27,661.02
210,2019-03-28,673.28
211,2019-03-29,650.07
212,2019-04-01,628.41
213,2019-04-02,607.63
214,2019-04-03,597.13
