,Date,1Y
0,2018-06-01,19
1,2018-06-04,18.75
2,2018-06-05,21
3,2018-06-06,21.5
4,2018-06-07,19.25
5,2018-06-08,20.25
6,2018-06-11,17.5
7,2018-06-12,17.5
8,2018-06-13,17
9,2018-06-14,16.25
10,2018-06-15,15.5
11,2018-06-18,19
12,2018-06-19,18.75
13,2018-06-20,33.33
14,2018-06-21,35.97
15,2018-06-22,34.61
16,2018-06-25,35.92
17,2018-06-26,34.96
18,2018-06-27,35.79
19,2018-06-28,35.63
20,2018-06-29,34.47
21,2018-07-02,35.38
22,2018-07-03,34.22
23,2018-07-04,34.26
24,2018-07-05,33.9
25,2018-07-06,37.12
26,2018-07-09,32.87
27,2018-07-10,34.1
28,2018-07-11,36.12
29,2018-07-12,34.58
30,2018-07-13,35.41
31,2018-07-16,37.9
32,2018-07-17,38.73
33,2018-07-18,35.41
34,2018-07-19,37.43
35,2018-07-20,36.28
36,2018-07-23,34.64
37,2018-07-24,34.28
38,2018-07-25,33.93
39,2018-07-26,32.8
40,2018-07-27,33.43
41,2018-07-30,32.98
42,2018-07-31,33.02
43,2018-08-01,33.85
44,2018-08-02,33.5
45,2018-08-03,33.55
46,2018-08-06,34.08
47,2018-08-07,34.52
48,2018-08-08,34.17
49,2018-08-09,33.83
50,2018-08-10,38.55
51,2018-08-13,39.07
52,2018-08-14,37.95
53,2018-08-15,40.32
54,2018-08-16,38.82
55,2018-08-17,38.09
56,2018-08-20,40.16
57,2018-08-21,39.82
58,2018-08-22,37.94
59,2018-08-23,37.22
60,2018-08-24,37.07
61,2018-08-28,34.2
62,2018-08-29,35.21
63,2018-08-30,35.26
64,2018-08-31,36.08
65,2018-09-03,36.24
66,2018-09-04,36.48
67,2018-09-05,37.87
68,2018-09-06,36.4
69,2018-09-07,35.69
70,2018-09-10,38.89
71,2018-09-11,37.04
72,2018-09-12,37.86
73,2018-09-13,34.88
74,2018-09-14,33.8
75,2018-09-17,34.17
76,2018-09-18,34.98
77,2018-09-19,38.24
78,2018-09-20,13.5
79,2018-09-21,13.5
80,2018-09-24,14.25
81,2018-09-25,18.75
82,2018-09-26,14.25
83,2018-09-27,13.5
84,2018-09-28,14
85,2018-10-01,19.5
86,2018-10-02,21.75
87,2018-10-03,19.5
88,2018-10-04,14
89,2018-10-05,23
90,2018-10-08,21
91,2018-10-09,19
92,2018-10-10,20
93,2018-10-11,17
94,2018-10-12,16.5
95,2018-10-15,22
96,2018-10-16,22.5
97,2018-10-17,23
98,2018-10-18,22.5
99,2018-10-19,24
100,2018-10-22,22.5
101,2018-10-23,21.5
102,2018-10-24,23.5
103,2018-10-25,20
104,2018-10-26,24
105,2018-10-29,23
106,2018-10-30,23.5
107,2018-10-31,22
108,2018-11-01,23
109,2018-11-02,22.5
110,2018-11-05,19.5
111,2018-11-06,22.5
112,2018-11-07,18
113,2018-11-08,14.5
114,2018-11-09,15.5
115,2018-11-12,14
116,2018-11-13,17.5
117,2018-11-14,19.5
118,2018-11-15,22
119,2018-11-16,23
120,2018-11-19,26
121,2018-11-20,26
122,2018-11-21,25.5
123,2018-11-22,25.5
124,2018-11-23,24
125,2018-11-26,20.5
126,2018-11-27,22
127,2018-11-28,22
128,2018-11-29,26
129,2018-11-30,22.5
130,2018-12-03,20.5
131,2018-12-04,23.5
132,2018-12-05,27
133,2018-12-06,28
134,2018-12-07,25
135,2018-12-10,28
136,2018-12-11,24
137,2018-12-12,31.5
138,2018-12-13,29.5
139,2018-12-14,33
140,2018-12-17,33.5
141,2018-12-18,34
142,2018-12-19,29.5
143,2018-12-20,45.26
144,2018-12-21,46.1
145,2018-12-24,46.59
146,2018-12-27,47.08
147,2018-12-28,47.51
148,2018-12-31,44.41
149,2019-01-02,48.47
150,2019-01-03,54.08
151,2019-01-04,47.73
152,2019-01-07,45.83
153,2019-01-08,43.87
154,2019-01-09,43.5
155,2019-01-10,44.33
156,2019-01-11,47.55
157,2019-01-14,49.23
158,2019-01-15,47.28
159,2019-01-16,45.33
160,2019-01-17,42.2
161,2019-01-18,44.21
162,2019-01-21,44.32
163,2019-01-22,45.14
164,2019-01-23,45.57
165,2019-01-24,44.42
166,2019-01-25,44.85
167,2019-01-28,43.78
168,2019-01-29,43.04
169,2019-01-30,43.47
170,2019-01-31,41.55
171,2019-02-01,42.37
172,2019-02-04,42.88
173,2019-02-05,42.14
174,2019-02-06,42.96
175,2019-02-07,44.95
176,2019-02-08,45.38
177,2019-02-11,45.5
178,2019-02-12,44.37
179,2019-02-13,43.64
180,2019-02-14,46.4
181,2019-02-15,42.55
182,2019-02-18,41.91
183,2019-02-19,43.89
184,2019-02-20,44.7
185,2019-02-21,45.91
186,2019-02-22,45.17
187,2019-02-25,44.92
188,2019-02-26,45.34
189,2019-02-27,44.62
190,2019-02-28,43.7
191,2019-03-01,42.79
192,2019-03-04,43.31
193,2019-03-05,43.35
194,2019-03-06,43.78
195,2019-03-07,44.59
196,2019-03-08,45.02
197,2019-03-11,44.02
198,2019-03-12,43.3
199,2019-03-13,42.97
200,2019-03-14,43.02
201,2019-03-15,42.31
202,2019-03-18,42.84
203,2019-03-19,43.28
204,2019-03-20,27
205,2019-03-21,23
206,2019-03-22,27.5
207,2019-03-25,27
208,2019-03-26,26.5
209,2019-03-27,28
210,2019-03-28,26
211,2019-03-29,26.5
212,2019-04-01,25
213,2019-04-02,26
214,2019-04-03,24.5
215,2019-04-04,25.5
216,2019-04-05,24.5
217,2019-04-08,25
218,2019-04-09,26
219,2019-04-10,24.5
220,2019-04-11,24
221,2019-04-12,23
222,2019-04-15,22.75
223,2019-04-16,22.25
224,2019-04-17,24
225,2019-04-18,24
226,2019-04-23,23
227,2019-04-24,22
228,2019-04-25,24
229,2019-04-26,23.5
230,2019-04-29,22.5
231,2019-04-30,24
232,2019-05-01,23.5
233,2019-05-02,26
234,2019-05-03,23.5
235,2019-05-07,25
236,2019-05-08,25.5
237,2019-05-09,25.5
238,2019-05-10,25.5
239,2019-05-13,26.5
240,2019-05-14,25
241,2019-05-15,25.5
242,2019-05-16,24
243,2019-05-17,24.5
244,2019-05-20,57
245,2019-05-21,25
246,2019-05-22,24.5
247,2019-05-23,25
248,2019-05-24,24.5
249,2019-05-28,26
250,2019-05-29,28.5
251,2019-05-30,28
252,2019-05-31,29
253,2019-06-03,30
254,2019-06-04,27
255,2019-06-05,27
256,2019-06-06,27
257,2019-06-07,25.5
258,2019-06-10,25
259,2019-06-11,25
260,2019-06-12,25
261,2019-06-13,26.5
262,2019-06-14,25.5
263,2019-06-17,26.5
264,2019-06-18,23
265,2019-06-19,24.5
266,2019-06-20,36.99
267,2019-06-21,35.02
268,2019-06-24,37.53
269,2019-06-25,37.97
270,2019-06-26,37.21
271,2019-06-27,36.84
272,2019-06-28,36.08
273,2019-07-01,35.79
274,2019-07-02,35.42
275,2019-07-03,35.46
276,2019-07-04,35.9
277,2019-07-05,36.33
278,2019-07-08,36.44
279,2019-07-09,36.87
280,2019-07-10,36.91
281,2019-07-11,36.95
282,2019-07-12,36.59
283,2019-07-15,36.32
284,2019-07-16,36.36
285,2019-07-17,36.79
286,2019-07-18,37.22
287,2019-07-19,36.48
288,2019-07-22,36.99
289,2019-07-23,35.85
290,2019-07-24,35.5
291,2019-07-25,35.15
292,2019-07-26,37.55
293,2019-07-29,36.5
294,2019-07-30,37.71
295,2019-07-31,35.8
296,2019-08-01,35.84
297,2019-08-02,39.01
298,2019-08-05,39.15
299,2019-08-06,39.2
300,2019-08-07,41.58
301,2019-08-08,38.51
302,2019-08-09,41.66
303,2019-08-12,40.62
304,2019-08-13,39.12
305,2019-08-14,41.48
306,2019-08-15,41.14
307,2019-08-16,40.42
308,2019-08-19,40.55
309,2019-08-20,39.82
310,2019-08-21,39.48
311,2019-08-22,40.29
312,2019-08-23,40.72
313,2019-08-27,39.75
314,2019-08-28,39.81
315,2019-08-29,37.94
316,2019-08-30,38.75
317,2019-09-02,38.14
318,2019-09-03,39.33
319,2019-09-04,38.24
320,2019-09-05,38.3
321,2019-09-06,37.59
322,2019-09-09,38.12
323,2019-09-10,37.79
324,2019-09-11,37.08
325,2019-09-12,37.13
326,2019-09-13,36.81
327,2019-09-16,37.73
328,2019-09-17,40.42
329,2019-09-18,40.1
330,2019-09-19,39.78
331,2019-09-20,23.5
332,2019-09-23,23.5
333,2019-09-24,25
334,2019-09-25,25.5
335,2019-09-26,24.5
336,2019-09-27,24.5
337,2019-09-30,25
338,2019-10-01,25
339,2019-10-02,28
340,2019-10-03,26
341,2019-10-04,25
342,2019-10-07,24.5
343,2019-10-08,25
344,2019-10-09,25
345,2019-10-10,23.5
346,2019-10-11,21.5
347,2019-10-14,22.5
348,2019-10-15,22.5
349,2019-10-16,21
350,2019-10-17,22
351,2019-10-18,23
352,2019-10-21,20
353,2019-10-22,21
354,2019-10-23,21.5
355,2019-10-24,21.5
356,2019-10-25,21
357,2019-10-28,19
358,2019-10-29,20.5
359,2019-10-30,20.5
360,2019-10-31,20.5
361,2019-11-01,18.5
362,2019-11-04,20
363,2019-11-05,20
364,2019-11-06,19
365,2019-11-07,19
366,2019-11-08,19.5
367,2019-11-11,19
368,2019-11-12,18.5
369,2019-11-13,20.5
370,2019-11-14,20
371,2019-11-15,19.5
372,2019-11-18,19.75
373,2019-11-19,19.5
374,2019-11-20,20.5
375,2019-11-21,22
376,2019-11-22,21.5
377,2019-11-25,20
378,2019-11-26,19
379,2019-11-27,18
380,2019-11-28,18
381,2019-11-29,18.5
382,2019-12-02,19
383,2019-12-03,19
384,2019-12-04,19
385,2019-12-05,18.25
386,2019-12-06,17.5
387,2019-12-09,19.5
388,2019-12-10,17.5
389,2019-12-11,16.5
390,2019-12-12,17.5
391,2019-12-13,16.5
392,2019-12-16,17
393,2019-12-17,15.5
394,2019-12-18,17
395,2019-12-19,17.5
396,2019-12-20,33.91
397,2019-12-23,34.01
398,2019-12-24,33.24
399,2019-12-27,33.35
400,2019-12-30,34.27
401,2019-12-31,33.51
402,2020-01-02,33.58
403,2020-01-03,33.22
