,Date,3Y
0,2018-06-01,50.75
1,2018-06-04,49.49
2,2018-06-05,48.8
3,2018-06-06,49.85
4,2018-06-07,48.62
5,2018-06-08,51.06
6,2018-06-11,49.37
7,2018-06-12,49.49
8,2018-06-13,48.43
9,2018-06-14,46.76
10,2018-06-15,47.3
11,2018-06-18,47.79
12,2018-06-19,52.11
13,2018-06-20,55.78
14,2018-06-21,57.3
15,2018-06-22,54.39
16,2018-06-25,58.9
17,2018-06-26,58.83
18,2018-06-27,60.86
19,2018-06-28,59.24
20,2018-06-29,58.26
21,2018-07-02,59.81
22,2018-07-03,58.89
23,2018-07-04,58.73
24,2018-07-05,59.24
25,2018-07-06,58.78
26,2018-07-09,57.23
27,2018-07-10,57.81
28,2018-07-11,60.22
29,2018-07-12,61.02
30,2018-07-13,60.2
31,2018-07-16,60.58
32,2018-07-17,61.53
33,2018-07-18,60.62
34,2018-07-19,60.6
35,2018-07-20,61.03
36,2018-07-23,58.56
37,2018-07-24,58.63
38,2018-07-25,62.38
39,2018-07-26,63.19
40,2018-07-27,62.26
41,2018-07-30,62.47
42,2018-07-31,65.61
43,2018-08-01,60.51
44,2018-08-02,62.01
45,2018-08-03,62.44
46,2018-08-06,63.4
47,2018-08-07,64.81
48,2018-08-08,63.88
49,2018-08-09,64.78
50,2018-08-10,66.71
51,2018-08-13,67.06
52,2018-08-14,65.6
53,2018-08-15,67.68
54,2018-08-16,66.56
55,2018-08-17,68.58
56,2018-08-20,68.98
57,2018-08-21,66.61
58,2018-08-22,68.04
59,2018-08-23,67.95
60,2018-08-24,66.95
61,2018-08-28,66.51
62,2018-08-29,66
63,2018-08-30,73.97
64,2018-08-31,75.82
65,2018-09-03,76.8
66,2018-09-04,76.74
67,2018-09-05,70.61
68,2018-09-06,71.08
69,2018-09-07,70.99
70,2018-09-10,70.2
71,2018-09-11,69.65
72,2018-09-12,68.77
73,2018-09-13,65.84
74,2018-09-14,65.78
75,2018-09-17,64.93
76,2018-09-18,65.82
77,2018-09-19,66.72
78,2018-09-20,70.01
79,2018-09-21,72.73
80,2018-09-24,75.47
81,2018-09-25,74.41
82,2018-09-26,74.54
83,2018-09-27,75.02
84,2018-09-28,74.02
85,2018-10-01,75.25
86,2018-10-02,72.95
87,2018-10-03,74.14
88,2018-10-04,75.59
89,2018-10-05,79.26
90,2018-10-08,81.06
91,2018-10-09,86.16
92,2018-10-10,103.32
93,2018-10-11,111.68
94,2018-10-12,113.99
95,2018-10-15,131.49
96,2018-10-16,128.96
97,2018-10-17,136.51
98,2018-10-18,132.45
99,2018-10-19,138.53
100,2018-10-22,130.41
