,Date,7Y
0,2018-06-01,90.5
1,2018-06-04,89.5
2,2018-06-05,89.5
3,2018-06-06,89.5
4,2018-06-07,88
5,2018-06-08,91
6,2018-06-11,89
7,2018-06-12,88
8,2018-06-13,87
9,2018-06-14,86.5
10,2018-06-15,84.5
11,2018-06-18,88.5
12,2018-06-19,87.5
13,2018-06-20,86.41
14,2018-06-21,89.32
15,2018-06-22,89.32
16,2018-06-25,89.81
17,2018-06-26,88.35
18,2018-06-27,88.35
19,2018-06-28,89.81
20,2018-06-29,87.87
21,2018-07-02,89.81
22,2018-07-03,86.9
23,2018-07-04,90.78
24,2018-07-05,86.42
25,2018-07-06,86.42
26,2018-07-09,84.96
27,2018-07-10,87.39
28,2018-07-11,87.39
29,2018-07-12,84.48
30,2018-07-13,83.99
31,2018-07-16,83.02
32,2018-07-17,82.54
33,2018-07-18,83.51
34,2018-07-19,83.6
35,2018-07-20,83.36
36,2018-07-23,81.81
37,2018-07-24,78.66
38,2018-07-25,80.6
39,2018-07-26,76.23
40,2018-07-27,78.17
41,2018-07-30,77.2
42,2018-07-31,76.72
43,2018-08-01,81.08
44,2018-08-02,81.08
45,2018-08-03,81.08
46,2018-08-06,81.08
47,2018-08-07,75.75
48,2018-08-08,77.2
49,2018-08-09,80.12
50,2018-08-10,84.97
51,2018-08-13,84
52,2018-08-14,82.54
53,2018-08-15,84.48
54,2018-08-16,84
55,2018-08-17,83.51
56,2018-08-20,84.97
57,2018-08-21,84.97
58,2018-08-22,84.73
59,2018-08-23,83.76
60,2018-08-24,83.27
61,2018-08-28,82.79
62,2018-08-29,85.21
63,2018-08-30,85.46
64,2018-08-31,85.94
65,2018-09-03,85.94
66,2018-09-04,86.91
67,2018-09-05,87.15
68,2018-09-06,85.94
69,2018-09-07,83.28
70,2018-09-10,83.52
71,2018-09-11,84
72,2018-09-12,82.79
73,2018-09-13,79.64
74,2018-09-14,76.73
75,2018-09-17,76.73
76,2018-09-18,77.7
77,2018-09-19,77.7
78,2018-09-20,81.5
79,2018-09-21,83.5
80,2018-09-24,83
81,2018-09-25,83.5
82,2018-09-26,82.5
83,2018-09-27,83.5
84,2018-09-28,84.5
85,2018-10-01,83
86,2018-10-02,84
87,2018-10-03,83
88,2018-10-04,84.5
89,2018-10-05,85
90,2018-10-08,85
91,2018-10-09,86.5
92,2018-10-10,88.5
93,2018-10-11,91
