,Date,1Y
0,2018-06-01,13.39
1,2018-06-04,13.14
2,2018-06-05,13.18
3,2018-06-06,13.08
4,2018-06-07,13.07
5,2018-06-08,13.37
6,2018-06-11,13.58
7,2018-06-12,12.83
8,2018-06-13,12.52
9,2018-06-14,12.48
10,2018-06-15,12.25
11,2018-06-18,12.27
12,2018-06-19,12.29
13,2018-06-20,29.46
14,2018-06-21,29.69
15,2018-06-22,29.76
16,2018-06-25,30.55
17,2018-06-26,31.57
18,2018-06-27,46.56
19,2018-06-28,27.78
20,2018-06-29,27.84
21,2018-07-02,28
22,2018-07-03,28.04
23,2018-07-04,28.04
24,2018-07-05,28.08
25,2018-07-06,28.15
26,2018-07-09,28.27
27,2018-07-10,28.7
28,2018-07-11,28.51
29,2018-07-12,28.54
30,2018-07-13,28.61
31,2018-07-16,28.76
32,2018-07-17,29.17
33,2018-07-18,28.98
34,2018-07-19,29.03
35,2018-07-20,29.1
36,2018-07-23,29.24
37,2018-07-24,29.27
38,2018-07-25,29.28
39,2018-07-26,29.5
40,2018-07-27,29.57
41,2018-07-30,29.74
42,2018-07-31,29.76
43,2018-08-01,29.97
44,2018-08-02,30.02
45,2018-08-03,28.49
46,2018-08-06,30.24
47,2018-08-07,30.44
48,2018-08-08,30.27
49,2018-08-09,30.3
50,2018-08-10,30.37
51,2018-08-13,30.55
52,2018-08-14,30.17
53,2018-08-15,30.39
54,2018-08-16,30.61
55,2018-08-17,31.43
56,2018-08-20,31.62
57,2018-08-21,31.67
58,2018-08-22,31.67
59,2018-08-23,28.61
60,2018-08-24,28.84
61,2018-08-28,29.09
62,2018-08-29,29.1
63,2018-08-30,29.12
64,2018-08-31,29.16
65,2018-09-03,29.78
66,2018-09-04,29.82
67,2018-09-05,29.82
68,2018-09-06,29.85
69,2018-09-07,29.91
70,2018-09-10,29.37
71,2018-09-11,29.42
72,2018-09-12,29.23
73,2018-09-13,29.26
74,2018-09-14,29.5
75,2018-09-17,29.16
76,2018-09-18,31.11
77,2018-09-19,31.12
78,2018-09-20,9.05
79,2018-09-21,9.1
80,2018-09-24,12.17
81,2018-09-25,10.9
82,2018-09-26,12.13
83,2018-09-27,12.1
84,2018-09-28,12.14
85,2018-10-01,12.18
86,2018-10-02,12.19
87,2018-10-03,9.97
88,2018-10-04,9.42
89,2018-10-05,9.49
90,2018-10-08,9.54
91,2018-10-09,9.55
92,2018-10-10,9.51
93,2018-10-11,10.03
94,2018-10-12,10.04
95,2018-10-15,10.08
96,2018-10-16,10.1
97,2018-10-17,10.04
98,2018-10-18,10.02
99,2018-10-19,10.07
100,2018-10-22,10.16
101,2018-10-23,10.23
102,2018-10-24,9.19
103,2018-10-25,9.16
104,2018-10-26,9.29
105,2018-10-29,9.28
106,2018-10-30,9.3
107,2018-10-31,9.18
108,2018-11-01,9.48
109,2018-11-02,9.25
110,2018-11-05,9.33
111,2018-11-06,9.3
112,2018-11-07,9.47
113,2018-11-08,9.43
114,2018-11-09,9.25
115,2018-11-12,9.57
116,2018-11-13,9.8
117,2018-11-14,9.76
118,2018-11-15,9.77
119,2018-11-16,9.79
120,2018-11-19,9.87
121,2018-11-20,9.79
122,2018-11-21,9.7
123,2018-11-22,9.72
124,2018-11-23,9.75
125,2018-11-26,9.78
126,2018-11-27,9.77
