,Date,10Y
0,2018-06-01,90
1,2018-06-04,87.75
2,2018-06-05,87.5
3,2018-06-06,87.5
4,2018-06-07,86.5
5,2018-06-08,87.5
6,2018-06-11,86
7,2018-06-12,86
8,2018-06-13,83.75
9,2018-06-14,82.75
10,2018-06-15,82
11,2018-06-18,82.5
12,2018-06-19,82.5
13,2018-06-20,81.86
14,2018-06-21,84.31
15,2018-06-22,83.82
16,2018-06-25,85.04
17,2018-06-26,85.54
18,2018-06-27,85.54
19,2018-06-28,87.5
20,2018-06-29,85.54
21,2018-07-02,87.74
22,2018-07-03,85.78
23,2018-07-04,87.74
24,2018-07-05,85.29
25,2018-07-06,83.82
26,2018-07-09,81.86
27,2018-07-10,83.82
28,2018-07-11,85.29
29,2018-07-12,83.82
30,2018-07-13,84.31
31,2018-07-16,82.84
32,2018-07-17,82.84
33,2018-07-18,83.33
34,2018-07-19,83.33
35,2018-07-20,82.84
36,2018-07-23,81.86
37,2018-07-24,80.88
38,2018-07-25,81.86
39,2018-07-26,78.92
40,2018-07-27,78.92
41,2018-07-30,78.43
42,2018-07-31,78.43
43,2018-08-01,79.41
44,2018-08-02,79.41
45,2018-08-03,79.41
46,2018-08-06,79.41
47,2018-08-07,78.43
48,2018-08-08,78.92
49,2018-08-09,79.9
50,2018-08-10,80.88
51,2018-08-13,82.84
52,2018-08-14,82.6
53,2018-08-15,84.31
54,2018-08-16,82.11
55,2018-08-17,81.37
56,2018-08-20,83.09
57,2018-08-21,81.38
58,2018-08-22,80.4
59,2018-08-23,79.32
60,2018-08-24,79.12
61,2018-08-28,78.63
62,2018-08-29,79.42
63,2018-08-30,79.91
64,2018-08-31,80.4
65,2018-09-03,80.4
66,2018-09-04,80.89
67,2018-09-05,80.3
68,2018-09-06,80.1
69,2018-09-07,80.1
70,2018-09-10,78.44
71,2018-09-11,77.95
72,2018-09-12,77.65
73,2018-09-13,74.52
74,2018-09-14,72.07
75,2018-09-17,72.56
76,2018-09-18,73.54
77,2018-09-19,73.53
78,2018-09-20,76
79,2018-09-21,76.75
80,2018-09-24,79.5
81,2018-09-25,79.4
82,2018-09-26,78.5
83,2018-09-27,78
84,2018-09-28,78
85,2018-10-01,76
86,2018-10-02,77.5
87,2018-10-03,76.5
88,2018-10-04,77.5
89,2018-10-05,78.5
90,2018-10-08,78
91,2018-10-09,78
92,2018-10-10,80.5
93,2018-10-11,83
94,2018-10-12,82.5
95,2018-10-15,84.5
96,2018-10-16,84
97,2018-10-17,84.5
98,2018-10-18,85.5
99,2018-10-19,86
100,2018-10-22,85.5
101,2018-10-23,87.5
102,2018-10-24,87.5
103,2018-10-25,89
104,2018-10-26,90.5
105,2018-10-29,90
106,2018-10-30,91
107,2018-10-31,88
108,2018-11-01,87
109,2018-11-02,85.5
110,2018-11-05,86
111,2018-11-06,84.5
112,2018-11-07,80
113,2018-11-08,82.5
114,2018-11-09,82.5
115,2018-11-12,82
116,2018-11-13,83
117,2018-11-14,87
118,2018-11-15,92
119,2018-11-16,92.5
120,2018-11-19,96
121,2018-11-20,96.5
122,2018-11-21,93.5
123,2018-11-22,93.5
124,2018-11-23,93
125,2018-11-26,90.5
126,2018-11-27,93
127,2018-11-28,92.5
128,2018-11-29,90.5
129,2018-11-30,91.5
130,2018-12-03,88.5
131,2018-12-04,91.5
132,2018-12-05,95
133,2018-12-06,99.5
134,2018-12-07,96
135,2018-12-10,99
136,2018-12-11,96.5
137,2018-12-12,96.5
138,2018-12-13,96
139,2018-12-14,98.5
140,2018-12-17,99.5
141,2018-12-18,101.5
142,2018-12-19,98
143,2018-12-20,103.43
144,2018-12-21,104.42
145,2018-12-24,105.89
146,2018-12-27,107.36
147,2018-12-28,105.89
148,2018-12-31,103.43
149,2019-01-02,108.34
150,2019-01-03,115.69
151,2019-01-04,112.26
152,2019-01-07,105.89
153,2019-01-08,104.41
154,2019-01-09,105.39
155,2019-01-10,106.38
156,2019-01-11,103.92
157,2019-01-14,104.9
158,2019-01-15,103.43
159,2019-01-16,100
160,2019-01-17,100.98
161,2019-01-18,97.06
162,2019-01-21,97.06
163,2019-01-22,98.04
164,2019-01-23,99.02
165,2019-01-24,96.57
166,2019-01-25,94.12
167,2019-01-28,96.57
168,2019-01-29,95.59
169,2019-01-30,94.12
170,2019-01-31,89.7
171,2019-02-01,89.7
172,2019-02-04,89.21
173,2019-02-05,88.23
174,2019-02-06,88.72
175,2019-02-07,91.17
176,2019-02-08,93.63
177,2019-02-11,93.14
178,2019-02-12,92.16
179,2019-02-13,89.21
180,2019-02-14,91.67
181,2019-02-15,88.23
182,2019-02-18,88.23
183,2019-02-19,90.2
184,2019-02-20,90.2
185,2019-02-21,92.16
186,2019-02-22,90.69
187,2019-02-25,89.22
188,2019-02-26,88.72
189,2019-02-27,88.24
190,2019-02-28,89.71
191,2019-03-01,88.23
192,2019-03-04,88.23
193,2019-03-05,88.23
194,2019-03-06,88.72
195,2019-03-07,89.71
196,2019-03-08,92.65
197,2019-03-11,91.67
198,2019-03-12,89.71
199,2019-03-13,88.73
200,2019-03-14,89.22
201,2019-03-15,88.73
202,2019-03-18,88.24
203,2019-03-19,87.75
204,2019-03-20,92.5
205,2019-03-21,87
206,2019-03-22,91.5
207,2019-03-25,91
208,2019-03-26,90.5
209,2019-03-27,91.5
210,2019-03-28,90.5
211,2019-03-29,90
212,2019-04-01,88
213,2019-04-02,87.5
214,2019-04-03,85
215,2019-04-04,86
216,2019-04-05,85
217,2019-04-08,85.5
218,2019-04-09,86
219,2019-04-10,85
220,2019-04-11,84.5
221,2019-04-12,82
222,2019-04-15,81
223,2019-04-16,81
224,2019-04-17,81
225,2019-04-18,81
226,2019-04-23,81
227,2019-04-24,80.5
228,2019-04-25,83.5
229,2019-04-26,84
230,2019-04-29,82
231,2019-04-30,81.5
232,2019-05-01,82
233,2019-05-02,84.5
234,2019-05-03,82.5
235,2019-05-07,84.5
236,2019-05-08,85
237,2019-05-09,87
238,2019-05-10,86.5
239,2019-05-13,88
240,2019-05-14,85.5
241,2019-05-15,85.5
242,2019-05-16,84
243,2019-05-17,83
244,2019-05-20,82.5
245,2019-05-21,83.5
246,2019-05-22,82.5
247,2019-05-23,86.5
248,2019-05-24,83.5
249,2019-05-28,85.5
250,2019-05-29,89.5
251,2019-05-30,89.5
252,2019-05-31,93.5
253,2019-06-03,91
254,2019-06-04,88.5
255,2019-06-05,86.5
256,2019-06-06,86
257,2019-06-07,84
258,2019-06-10,83
259,2019-06-11,83.5
260,2019-06-12,83
261,2019-06-13,84.5
262,2019-06-14,84.5
263,2019-06-17,85.5
264,2019-06-18,81
265,2019-06-19,80.5
266,2019-06-20,77.96
267,2019-06-21,78.45
268,2019-06-24,77.47
269,2019-06-25,79.43
270,2019-06-26,78.45
271,2019-06-27,77.96
272,2019-06-28,76.98
273,2019-07-01,74.53
274,2019-07-02,76
275,2019-07-03,74.53
276,2019-07-04,75.02
277,2019-07-05,76.49
278,2019-07-08,78.45
279,2019-07-09,78.45
280,2019-07-10,76
281,2019-07-11,75.02
282,2019-07-12,74.53
283,2019-07-15,76.98
284,2019-07-16,76.98
285,2019-07-17,76
286,2019-07-18,76
287,2019-07-19,77.47
288,2019-07-22,75.02
289,2019-07-23,73.55
290,2019-07-24,72.08
291,2019-07-25,71.59
292,2019-07-26,73.06
293,2019-07-29,76
294,2019-07-30,76
295,2019-07-31,76
296,2019-08-01,75.03
297,2019-08-02,80.91
298,2019-08-05,83.84
299,2019-08-06,83.85
300,2019-08-07,84.83
301,2019-08-08,81.4
302,2019-08-09,82.87
303,2019-08-12,83.85
304,2019-08-13,81.4
305,2019-08-14,86.78
306,2019-08-15,86.79
307,2019-08-16,86.3
308,2019-08-19,83.36
309,2019-08-20,81.89
310,2019-08-21,80.92
311,2019-08-22,80.92
312,2019-08-23,82.38
313,2019-08-27,78.47
314,2019-08-28,79.94
315,2019-08-29,74.56
316,2019-08-30,76.03
317,2019-09-02,74.07
318,2019-09-03,75.54
319,2019-09-04,73.09
320,2019-09-05,70.16
321,2019-09-06,70.64
322,2019-09-09,70.64
323,2019-09-10,71.62
324,2019-09-11,73.57
