,Date,5Y
0,2018-06-01,42.5
1,2018-06-04,45
2,2018-06-05,43
3,2018-06-06,42
4,2018-06-07,44
5,2018-06-08,42.5
6,2018-06-11,42.5
7,2018-06-12,40.5
8,2018-06-13,40
9,2018-06-14,38
10,2018-06-15,39
11,2018-06-18,40
12,2018-06-19,42
13,2018-06-20,44.48
14,2018-06-21,50.22
15,2018-06-22,49.74
16,2018-06-25,50.7
17,2018-06-26,50.71
18,2018-06-27,49.75
19,2018-06-28,51.67
20,2018-06-29,50.71
21,2018-07-02,51.67
22,2018-07-03,50.72
23,2018-07-04,51.68
24,2018-07-05,50.72
25,2018-07-06,50.72
26,2018-07-09,49.29
27,2018-07-10,47.86
28,2018-07-11,48.81
29,2018-07-12,48.82
30,2018-07-13,47.86
31,2018-07-16,46.91
32,2018-07-17,47.39
33,2018-07-18,45.95
34,2018-07-19,46.91
35,2018-07-20,45.96
36,2018-07-23,46.44
37,2018-07-24,45
38,2018-07-25,45.96
39,2018-07-26,43.09
40,2018-07-27,43.09
41,2018-07-30,44.05
42,2018-07-31,43.1
43,2018-08-01,43.1
44,2018-08-02,43.1
45,2018-08-03,43.1
46,2018-08-06,43.11
47,2018-08-07,44.07
48,2018-08-08,44.55
49,2018-08-09,45.03
50,2018-08-10,46.46
51,2018-08-13,48.38
52,2018-08-14,47.91
53,2018-08-15,49.82
54,2018-08-16,49.34
55,2018-08-17,49.82
56,2018-08-20,49.83
57,2018-08-21,48.88
58,2018-08-22,49.35
59,2018-08-23,49.36
60,2018-08-24,49.36
61,2018-08-28,47.93
62,2018-08-29,47.93
63,2018-08-30,48.41
64,2018-08-31,49.84
65,2018-09-03,49.85
66,2018-09-04,48.89
67,2018-09-05,47.94
68,2018-09-06,47.94
69,2018-09-07,48.9
70,2018-09-10,47.47
71,2018-09-11,46.99
72,2018-09-12,46.51
73,2018-09-13,46.03
74,2018-09-14,45.56
75,2018-09-17,44.13
76,2018-09-18,44.61
77,2018-09-19,44.61
78,2018-09-20,48
79,2018-09-21,48
80,2018-09-24,49
81,2018-09-25,49.75
82,2018-09-26,49
83,2018-09-27,47.5
84,2018-09-28,49
85,2018-10-01,48
86,2018-10-02,47.5
87,2018-10-03,47.5
88,2018-10-04,48.5
89,2018-10-05,50.5
90,2018-10-08,50.5
91,2018-10-09,50.5
92,2018-10-10,51.5
93,2018-10-11,54.5
94,2018-10-12,54.5
95,2018-10-15,54.5
96,2018-10-16,53.5
97,2018-10-17,54
98,2018-10-18,54.5
99,2018-10-19,54.5
100,2018-10-22,54.5
101,2018-10-23,56.5
102,2018-10-24,55
103,2018-10-25,56
104,2018-10-26,55.5
105,2018-10-29,54.5
106,2018-10-30,54.5
107,2018-10-31,52.5
108,2018-11-01,53
109,2018-11-02,52
110,2018-11-05,52
111,2018-11-06,52.5
112,2018-11-07,49.5
113,2018-11-08,50
114,2018-11-09,51.5
115,2018-11-12,52.5
116,2018-11-13,53
117,2018-11-14,55.5
118,2018-11-15,58.5
119,2018-11-16,59.5
120,2018-11-19,59
121,2018-11-20,62.5
122,2018-11-21,58.5
123,2018-11-22,57.5
124,2018-11-23,58.5
125,2018-11-26,57.5
126,2018-11-27,59.5
127,2018-11-28,58.5
128,2018-11-29,53
129,2018-11-30,63
130,2018-12-03,60.5
131,2018-12-04,63.5
132,2018-12-05,66
133,2018-12-06,68.5
134,2018-12-07,67.5
135,2018-12-10,71
136,2018-12-11,68.5
137,2018-12-12,68
138,2018-12-13,68
139,2018-12-14,69.5
140,2018-12-17,70
141,2018-12-18,71.5
142,2018-12-19,71
143,2018-12-20,78.94
144,2018-12-21,77.02
145,2018-12-24,83.72
146,2018-12-27,79.42
147,2018-12-28,77.98
148,2018-12-31,75.59
149,2019-01-02,78.95
150,2019-01-03,79.43
151,2019-01-04,78.95
152,2019-01-07,75.12
153,2019-01-08,73.69
154,2019-01-09,69.86
155,2019-01-10,70.82
156,2019-01-11,70.34
157,2019-01-14,71.78
158,2019-01-15,69.86
159,2019-01-16,67.95
160,2019-01-17,67.95
161,2019-01-18,64.12
162,2019-01-21,66.04
163,2019-01-22,67
164,2019-01-23,66.52
165,2019-01-24,66.52
166,2019-01-25,65.09
167,2019-01-28,65.57
168,2019-01-29,65.57
169,2019-01-30,64.14
170,2019-01-31,59.36
171,2019-02-01,58.41
172,2019-02-04,58.88
173,2019-02-05,56.97
174,2019-02-06,56.02
175,2019-02-07,58.41
176,2019-02-08,59.37
177,2019-02-11,58.42
178,2019-02-12,57.46
179,2019-02-13,55.07
180,2019-02-14,56.98
181,2019-02-15,52.21
182,2019-02-18,52.21
183,2019-02-19,53.17
184,2019-02-20,51.74
185,2019-02-21,52.22
186,2019-02-22,51.26
187,2019-02-25,48.4
188,2019-02-26,49.36
189,2019-02-27,49.84
190,2019-02-28,49.36
191,2019-03-01,50.79
192,2019-03-04,49.36
193,2019-03-05,49.84
194,2019-03-06,50.32
195,2019-03-07,51.76
196,2019-03-08,52.72
197,2019-03-11,50.81
198,2019-03-12,50.81
199,2019-03-13,49.86
200,2019-03-14,49.86
201,2019-03-15,48.43
202,2019-03-18,47.96
203,2019-03-19,47.01
204,2019-03-20,50.5
205,2019-03-21,49
206,2019-03-22,51
207,2019-03-25,52.5
208,2019-03-26,51
209,2019-03-27,51
210,2019-03-28,51.5
211,2019-03-29,50
212,2019-04-01,48
213,2019-04-02,48
214,2019-04-03,46.5
215,2019-04-04,47
216,2019-04-05,46.5
217,2019-04-08,46.5
218,2019-04-09,47
219,2019-04-10,47.5
220,2019-04-11,46.5
221,2019-04-12,45
222,2019-04-15,45
223,2019-04-16,44.5
224,2019-04-17,44.5
225,2019-04-18,45
226,2019-04-23,44.5
227,2019-04-24,44
228,2019-04-25,45.5
229,2019-04-26,44.5
230,2019-04-29,43.5
231,2019-04-30,44
232,2019-05-01,42.5
233,2019-05-02,45
234,2019-05-03,44.5
235,2019-05-07,45.5
236,2019-05-08,47.5
237,2019-05-09,48
238,2019-05-10,49
239,2019-05-13,50.5
240,2019-05-14,49
241,2019-05-15,47.5
242,2019-05-16,47
243,2019-05-17,47
244,2019-05-20,48.5
245,2019-05-21,47.5
246,2019-05-22,47.5
247,2019-05-23,48
248,2019-05-24,47.5
249,2019-05-28,48.5
250,2019-05-29,49.5
251,2019-05-30,48.5
252,2019-05-31,50
253,2019-06-03,48.5
254,2019-06-04,47
255,2019-06-05,45
256,2019-06-06,44.5
257,2019-06-07,43
258,2019-06-10,42.5
259,2019-06-11,40.5
260,2019-06-12,42
261,2019-06-13,41.5
262,2019-06-14,42.5
263,2019-06-17,42
264,2019-06-18,39.5
265,2019-06-19,37.5
266,2019-06-20,40.25
267,2019-06-21,40.25
268,2019-06-24,41.21
269,2019-06-25,41.69
270,2019-06-26,41.22
271,2019-06-27,41.22
272,2019-06-28,41.22
273,2019-07-01,40.27
274,2019-07-02,39.79
275,2019-07-03,39.32
276,2019-07-04,39.32
277,2019-07-05,40.76
278,2019-07-08,40.75
279,2019-07-09,41.23
280,2019-07-10,39.8
281,2019-07-11,38.37
282,2019-07-12,38.84
283,2019-07-15,38.85
284,2019-07-16,39.33
285,2019-07-17,40.29
286,2019-07-18,40.29
287,2019-07-19,39.82
288,2019-07-22,39.34
289,2019-07-23,37.44
290,2019-07-24,36.96
291,2019-07-25,35.05
292,2019-07-26,35.53
293,2019-07-29,36.97
294,2019-07-30,37.93
295,2019-07-31,37.45
296,2019-08-01,38.41
297,2019-08-02,41.29
298,2019-08-05,44.16
299,2019-08-06,43.21
300,2019-08-07,44.65
301,2019-08-08,43.22
302,2019-08-09,42.74
303,2019-08-12,43.7
304,2019-08-13,41.8
305,2019-08-14,43.22
306,2019-08-15,42.28
307,2019-08-16,42.76
308,2019-08-19,40.86
309,2019-08-20,40.85
310,2019-08-21,39.91
311,2019-08-22,39.43
312,2019-08-23,41.34
313,2019-08-27,40.39
314,2019-08-28,40.4
315,2019-08-29,38.97
316,2019-08-30,38.97
317,2019-09-02,39.46
318,2019-09-03,39.93
319,2019-09-04,39.46
320,2019-09-05,37.56
321,2019-09-06,38.03
322,2019-09-09,37.08
323,2019-09-10,37.55
324,2019-09-11,37.55
325,2019-09-12,36.6
326,2019-09-13,37.07
327,2019-09-16,37.54
328,2019-09-17,39.93
329,2019-09-18,40.89
330,2019-09-19,39.94
331,2019-09-20,42
332,2019-09-23,44.5
333,2019-09-24,45.5
334,2019-09-25,44.5
335,2019-09-26,46.5
336,2019-09-27,46
337,2019-09-30,45.5
338,2019-10-01,45
339,2019-10-02,47.5
340,2019-10-03,47.5
341,2019-10-04,44.5
342,2019-10-07,44.5
343,2019-10-08,45.5
344,2019-10-09,45
345,2019-10-10,44
346,2019-10-11,41.5
347,2019-10-14,40
348,2019-10-15,39.5
349,2019-10-16,39.5
350,2019-10-17,39.5
351,2019-10-18,38.5
352,2019-10-21,39
353,2019-10-22,39.5
354,2019-10-23,39
355,2019-10-24,39.5
356,2019-10-25,39.5
357,2019-10-28,38.5
358,2019-10-29,38.5
359,2019-10-30,39
360,2019-10-31,40
361,2019-11-01,39
362,2019-11-04,38
363,2019-11-05,36.5
364,2019-11-06,37
365,2019-11-07,37
366,2019-11-08,36.5
367,2019-11-11,37.5
368,2019-11-12,36
369,2019-11-13,37.5
370,2019-11-14,38.5
371,2019-11-15,39.5
372,2019-11-18,37.5
373,2019-11-19,38.5
374,2019-11-20,38.5
375,2019-11-21,40.5
376,2019-11-22,39.5
377,2019-11-25,38.5
378,2019-11-26,38
379,2019-11-27,37.5
380,2019-11-28,37.5
381,2019-11-29,38.5
382,2019-12-02,38.5
383,2019-12-03,38.5
384,2019-12-04,38
385,2019-12-05,39
386,2019-12-06,37
387,2019-12-09,36.5
388,2019-12-10,36.5
389,2019-12-11,36
390,2019-12-12,35.5
391,2019-12-13,36.5
392,2019-12-16,35
393,2019-12-17,34.5
394,2019-12-18,35
395,2019-12-19,35.5
396,2019-12-20,38.28
397,2019-12-23,38.29
398,2019-12-24,37.33
399,2019-12-27,37.34
400,2019-12-30,37.34
401,2019-12-31,37.82
402,2020-01-02,37.34
403,2020-01-03,37.83
404,2020-01-06,37.84
405,2020-01-07,38.32
406,2020-01-08,37.36
407,2020-01-09,37.36
408,2020-01-10,36.41
409,2020-01-13,35.94
410,2020-01-14,35.94
411,2020-01-15,35.94
412,2020-01-16,35.94
413,2020-01-17,35.47
414,2020-01-20,35.47
415,2020-01-21,35.95
416,2020-01-22,37.39
417,2020-01-23,37.39
418,2020-01-24,37.87
419,2020-01-27,37.5
420,2020-01-28,39.5
421,2020-01-29,38.5
422,2020-01-30,41
423,2020-01-31,41
424,2020-02-03,42
425,2020-02-04,39
426,2020-02-05,38
427,2020-02-06,37.5
428,2020-02-07,38.5
429,2020-02-10,37
430,2020-02-11,36
431,2020-02-12,35
432,2020-02-13,35
433,2020-02-14,34.5
434,2020-02-17,35
435,2020-02-18,35.5
436,2020-02-19,35.5
