,Date,3Y
0,2018-06-01,42.5
1,2018-06-04,41
2,2018-06-05,40
3,2018-06-06,40
4,2018-06-07,39.75
5,2018-06-08,41.5
6,2018-06-11,39.5
7,2018-06-12,39
8,2018-06-13,38.5
9,2018-06-14,37.5
10,2018-06-15,36.5
11,2018-06-18,39
12,2018-06-19,37
13,2018-06-20,40.62
14,2018-06-21,42.94
15,2018-06-22,41.56
16,2018-06-25,44.35
17,2018-06-26,43.9
18,2018-06-27,42.97
19,2018-06-28,45.3
20,2018-06-29,43.45
21,2018-07-02,46.24
22,2018-07-03,44.39
23,2018-07-04,45.32
24,2018-07-05,43.93
25,2018-07-06,43.94
26,2018-07-09,42.56
27,2018-07-10,43.95
28,2018-07-11,43.96
29,2018-07-12,43.96
30,2018-07-13,42.58
31,2018-07-16,42.59
32,2018-07-17,42.59
33,2018-07-18,41.67
34,2018-07-19,42.14
35,2018-07-20,41.22
36,2018-07-23,41.69
37,2018-07-24,40.3
38,2018-07-25,41.7
39,2018-07-26,38.46
40,2018-07-27,38.93
41,2018-07-30,37.56
42,2018-07-31,38.48
43,2018-08-01,39.88
44,2018-08-02,39.88
45,2018-08-03,39.88
46,2018-08-06,39.9
47,2018-08-07,38.98
48,2018-08-08,40.37
49,2018-08-09,41.3
50,2018-08-10,43.16
51,2018-08-13,42.25
52,2018-08-14,44.1
53,2018-08-15,45.95
54,2018-08-16,43.65
55,2018-08-17,43.19
56,2018-08-20,44.59
57,2018-08-21,44.6
58,2018-08-22,42.52
59,2018-08-23,42.53
60,2018-08-24,42.07
61,2018-08-28,42.55
62,2018-08-29,42.09
63,2018-08-30,42.32
64,2018-08-31,44.18
65,2018-09-03,44.19
66,2018-09-04,44.19
67,2018-09-05,43.28
68,2018-09-06,42.59
69,2018-09-07,43.06
70,2018-09-10,42.37
71,2018-09-11,40.99
72,2018-09-12,40.53
73,2018-09-13,40.08
74,2018-09-14,38.7
75,2018-09-17,39.17
76,2018-09-18,40.1
77,2018-09-19,38.26
78,2018-09-20,35.5
79,2018-09-21,36.25
80,2018-09-24,38
81,2018-09-25,36.25
82,2018-09-26,35
83,2018-09-27,36
84,2018-09-28,36.5
85,2018-10-01,35.5
86,2018-10-02,37
87,2018-10-03,34.5
88,2018-10-04,35
89,2018-10-05,36.5
90,2018-10-08,35.5
91,2018-10-09,35.5
92,2018-10-10,38
93,2018-10-11,38.5
94,2018-10-12,38.5
95,2018-10-15,39
96,2018-10-16,39
97,2018-10-17,40
98,2018-10-18,40.5
99,2018-10-19,42
100,2018-10-22,43
101,2018-10-23,43.5
102,2018-10-24,43
103,2018-10-25,43.5
104,2018-10-26,44.5
105,2018-10-29,44
106,2018-10-30,45
107,2018-10-31,43.5
108,2018-11-01,43
109,2018-11-02,41.5
110,2018-11-05,39.5
111,2018-11-06,39.25
112,2018-11-07,35
113,2018-11-08,36.5
114,2018-11-09,37
115,2018-11-12,36
116,2018-11-13,42.5
117,2018-11-14,43
118,2018-11-15,45.5
119,2018-11-16,47
120,2018-11-19,48.5
121,2018-11-20,50.5
122,2018-11-21,48
123,2018-11-22,48
124,2018-11-23,47.5
125,2018-11-26,46
126,2018-11-27,46.5
127,2018-11-28,46.5
128,2018-11-29,46
129,2018-11-30,46.5
130,2018-12-03,44.5
131,2018-12-04,46.5
132,2018-12-05,49.5
133,2018-12-06,53
134,2018-12-07,50
135,2018-12-10,52
136,2018-12-11,50
137,2018-12-12,51.5
138,2018-12-13,51.5
139,2018-12-14,53.5
140,2018-12-17,54
141,2018-12-18,56
142,2018-12-19,52.5
143,2018-12-20,59.13
144,2018-12-21,60.52
145,2018-12-24,61.46
146,2018-12-27,61.47
147,2018-12-28,61.94
148,2018-12-31,59.17
149,2019-01-02,61.03
150,2019-01-03,73.09
151,2019-01-04,68.46
152,2019-01-07,64.75
153,2019-01-08,61.51
154,2019-01-09,61.51
155,2019-01-10,62.9
156,2019-01-11,62.44
157,2019-01-14,64.31
158,2019-01-15,62.45
159,2019-01-16,60.14
160,2019-01-17,64.31
161,2019-01-18,57.36
162,2019-01-21,56.91
163,2019-01-22,58.53
164,2019-01-23,55.99
165,2019-01-24,56.92
166,2019-01-25,56.46
167,2019-01-28,56
168,2019-01-29,55.08
169,2019-01-30,52.77
170,2019-01-31,50
171,2019-02-01,50.47
172,2019-02-04,50.94
173,2019-02-05,50.94
174,2019-02-06,51.87
175,2019-02-07,52.8
176,2019-02-08,53.27
177,2019-02-11,53.28
178,2019-02-12,54.21
