,Date,10Y
0,2018-06-01,88.5
1,2018-06-04,87.5
2,2018-06-05,88.5
3,2018-06-06,88.5
4,2018-06-07,88
5,2018-06-08,89
6,2018-06-11,87.5
7,2018-06-12,87
8,2018-06-13,83.25
9,2018-06-14,82.5
10,2018-06-15,81
11,2018-06-18,85.5
12,2018-06-19,83.5
13,2018-06-20,82.84
14,2018-06-21,85.29
15,2018-06-22,84.31
16,2018-06-25,87.74
17,2018-06-26,85.29
18,2018-06-27,84.8
19,2018-06-28,87.25
20,2018-06-29,85.29
21,2018-07-02,87.74
22,2018-07-03,84.31
23,2018-07-04,88.23
24,2018-07-05,83.82
25,2018-07-06,84.31
26,2018-07-09,83.82
27,2018-07-10,86.27
28,2018-07-11,88.23
29,2018-07-12,85.78
30,2018-07-13,85.78
31,2018-07-16,83.33
32,2018-07-17,84.31
33,2018-07-18,83.82
34,2018-07-19,84.8
35,2018-07-20,84.8
36,2018-07-23,84.8
37,2018-07-24,82.84
38,2018-07-25,83.82
39,2018-07-26,80.88
40,2018-07-27,81.37
41,2018-07-30,80.88
42,2018-07-31,79.41
43,2018-08-01,80.39
44,2018-08-02,80.39
45,2018-08-03,80.39
46,2018-08-06,80.39
47,2018-08-07,81.37
48,2018-08-08,80.88
49,2018-08-09,81.37
50,2018-08-10,82.35
51,2018-08-13,83.82
52,2018-08-14,82.35
53,2018-08-15,85.78
54,2018-08-16,83.34
55,2018-08-17,83.34
56,2018-08-20,85.79
57,2018-08-21,84.81
58,2018-08-22,83.58
59,2018-08-23,83.09
60,2018-08-24,82.6
61,2018-08-28,80.64
62,2018-08-29,81.62
63,2018-08-30,81.38
64,2018-08-31,82.85
65,2018-09-03,82.85
66,2018-09-04,83.83
67,2018-09-05,82.36
68,2018-09-06,82.11
69,2018-09-07,82.11
70,2018-09-10,80.4
71,2018-09-11,79.91
72,2018-09-12,78.44
73,2018-09-13,75.99
74,2018-09-14,73.54
75,2018-09-17,73.54
76,2018-09-18,74.52
77,2018-09-19,74.51
78,2018-09-20,76
79,2018-09-21,80.75
80,2018-09-24,80
81,2018-09-25,77.75
82,2018-09-26,77.5
83,2018-09-27,77
84,2018-09-28,77.5
85,2018-10-01,76
86,2018-10-02,77.5
87,2018-10-03,75.5
88,2018-10-04,76.5
89,2018-10-05,78.5
90,2018-10-08,78
91,2018-10-09,78
92,2018-10-10,79.5
93,2018-10-11,79.5
94,2018-10-12,78.5
95,2018-10-15,81.5
96,2018-10-16,80
97,2018-10-17,81.5
98,2018-10-18,80.5
99,2018-10-19,82
100,2018-10-22,80.5
101,2018-10-23,82.5
102,2018-10-24,82.5
103,2018-10-25,84
104,2018-10-26,85
105,2018-10-29,84.5
106,2018-10-30,85.5
107,2018-10-31,82.5
108,2018-11-01,82
109,2018-11-02,81
110,2018-11-05,81
111,2018-11-06,80.5
112,2018-11-07,77
113,2018-11-08,78
114,2018-11-09,78.5
115,2018-11-12,77.5
116,2018-11-13,78
117,2018-11-14,82.5
118,2018-11-15,86.5
119,2018-11-16,89.5
120,2018-11-19,91
121,2018-11-20,93
122,2018-11-21,89.5
123,2018-11-22,89.5
124,2018-11-23,90.5
125,2018-11-26,87.5
126,2018-11-27,89.5
127,2018-11-28,88.5
128,2018-11-29,87.5
129,2018-11-30,88.5
130,2018-12-03,85.5
131,2018-12-04,87.5
132,2018-12-05,92
133,2018-12-06,95
134,2018-12-07,93.5
135,2018-12-10,96.5
136,2018-12-11,93.5
137,2018-12-12,95
138,2018-12-13,93.5
139,2018-12-14,95
140,2018-12-17,97
141,2018-12-18,99
142,2018-12-19,96.5
143,2018-12-20,101.47
144,2018-12-21,101.96
145,2018-12-24,103.92
146,2018-12-27,104.41
147,2018-12-28,104.91
148,2018-12-31,100.98
149,2019-01-02,105.89
150,2019-01-03,115.2
151,2019-01-04,110.3
152,2019-01-07,105.89
153,2019-01-08,104.9
154,2019-01-09,105.39
155,2019-01-10,104.9
156,2019-01-11,104.41
157,2019-01-14,104.41
158,2019-01-15,103.92
159,2019-01-16,99.02
160,2019-01-17,99.51
161,2019-01-18,95.1
162,2019-01-21,95.1
163,2019-01-22,95.1
164,2019-01-23,96.57
165,2019-01-24,95.1
166,2019-01-25,91.66
167,2019-01-28,93.63
168,2019-01-29,92.64
169,2019-01-30,92.64
170,2019-01-31,87.74
171,2019-02-01,87.74
172,2019-02-04,87.74
173,2019-02-05,87.25
174,2019-02-06,87.74
175,2019-02-07,90.19
176,2019-02-08,92.16
177,2019-02-11,92.16
178,2019-02-12,91.18
179,2019-02-13,88.72
180,2019-02-14,91.17
181,2019-02-15,88.23
182,2019-02-18,87.25
183,2019-02-19,89.21
184,2019-02-20,89.71
185,2019-02-21,90.2
186,2019-02-22,89.71
187,2019-02-25,88.23
188,2019-02-26,88.23
189,2019-02-27,86.76
190,2019-02-28,85.78
191,2019-03-01,84.8
192,2019-03-04,84.8
193,2019-03-05,85.29
194,2019-03-06,85.78
195,2019-03-07,86.76
196,2019-03-08,89.22
197,2019-03-11,87.75
198,2019-03-12,85.79
199,2019-03-13,85.3
200,2019-03-14,85.79
201,2019-03-15,84.32
202,2019-03-18,83.83
203,2019-03-19,82.85
204,2019-03-20,87.5
205,2019-03-21,82
206,2019-03-22,86
207,2019-03-25,86.5
208,2019-03-26,85.5
209,2019-03-27,87
210,2019-03-28,86.5
211,2019-03-29,85.5
212,2019-04-01,83.5
213,2019-04-02,84
214,2019-04-03,81
215,2019-04-04,82
216,2019-04-05,81.5
217,2019-04-08,82.5
218,2019-04-09,82.5
219,2019-04-10,82.5
220,2019-04-11,81.5
221,2019-04-12,79
222,2019-04-15,79
223,2019-04-16,79
224,2019-04-17,79.5
225,2019-04-18,79.5
226,2019-04-23,79.5
227,2019-04-24,78
228,2019-04-25,81.5
229,2019-04-26,80.5
230,2019-04-29,80.5
231,2019-04-30,80.5
232,2019-05-01,80
233,2019-05-02,82
234,2019-05-03,82
235,2019-05-07,84
236,2019-05-08,84.5
237,2019-05-09,86.5
238,2019-05-10,85.5
239,2019-05-13,87.5
240,2019-05-14,85
241,2019-05-15,85
242,2019-05-16,83.5
243,2019-05-17,81.5
244,2019-05-20,81.5
245,2019-05-21,82.5
